product	instance	hierarchical_Yosys	raw_Vivado	difference
1x1	u_pp/u_srp	13924	4971	8953
1x1	u_pp/@own	7075	628	6447
1x1	u_pp/u_notify	7090	3305	3785
1x1	u_pp/u_aecp	6056	5239	817
1x1	u_pp/u_normalizer	826	18	808
1x1	u_pp/u_originator	1543	852	691
1x1	u_pp/u_nvm_shadow	1264	698	566
1x1	u_pp/u_rx_validator	1228	663	565
1x1	u_pp/u_dispatch	71	552	-481
1x1	u_nvm	1069	595	474
1x1	u_pp/u_timer	329	761	-432
1x1	u_pp/u_adp	1009	656	353
1x1	@own	358	13	345
1x1	u_pp/u_ca_builder	514	170	344
1x1	u_pp/u_talker	1194	984	210
1x1	u_pp/u_scoreboard	277	77	200
1x1	u_pp/u_listener	1977	1782	195
1x1	u_pp/u_maap	914	1067	-153
1x1	u_pp/u_nvm_port	198	328	-130
1x1	u_pp/g_rx_pool[3].u_rx_slots	92	0	92
1x1	u_pp/u_event_router	379	295	84
1x1	u_pp/u_side_port	116	57	59
1x1	u_pp/g_rx_pool[1].u_rx_slots	92	37	55
1x1	u_pp/u_nvm_arb	52	7	45
1x1	u_pp/u_tx_slots	334	290	44
1x1	u_pp/g_rx_pool[4].u_rx_slots	92	49	43
1x1	u_pp/g_rx_pool[0].u_rx_slots	92	53	39
1x1	u_pp/u_tx_arbiter	186	220	-34
1x1	u_pp/u_release_merge	31	0	31
1x1	u_pp/g_rx_pool[2].u_rx_slots	92	63	29
1x1	ctl_fifo	65	88	-23
1x1	u_pp/g_rx_pool[5].u_rx_slots	92	111	-19
1x1	u_pp/u_prng	163	181	-18
1x1	u_pp/u_trace	32	45	-13
1x1	u_pp/u_mrp_strip	71	82	-11
1x1	u_pp/u_lsn_admit	13	3	10
1x1	u_pp/u_desc_mem_guard	5	1	4
1x1	u_srp	0	0	0
1x1	@flattening_residual	-7657	0	-7657
1x1	@flat_total	41258	24941	16317
8x8	u_pp/u_srp	28045	9423	18622
8x8	u_pp/@own	11381	505	10876
8x8	u_pp/u_notify	6387	3083	3304
8x8	u_pp/u_aecp	6947	5640	1307
8x8	u_pp/u_timer	544	1537	-993
8x8	u_pp/u_originator	1708	832	876
8x8	u_pp/u_normalizer	826	20	806
8x8	u_pp/u_event_router	1223	437	786
8x8	u_pp/u_adp	1481	889	592
8x8	u_nvm	1365	890	475
8x8	u_pp/u_nvm_shadow	1248	794	454
8x8	u_pp/u_dispatch	71	508	-437
8x8	@own	369	13	356
8x8	u_pp/u_ca_builder	525	184	341
8x8	u_pp/u_talker	1876	1651	225
8x8	u_pp/u_maap	928	1142	-214
8x8	u_pp/u_rx_validator	1228	1020	208
8x8	u_pp/u_nvm_port	198	401	-203
8x8	u_pp/u_scoreboard	277	84	193
8x8	u_pp/g_rx_pool[3].u_rx_slots	92	0	92
8x8	u_pp/u_tx_slots	334	413	-79
8x8	u_pp/u_listener	1974	1904	70
8x8	u_pp/u_side_port	116	58	58
8x8	u_pp/g_rx_pool[1].u_rx_slots	92	42	50
8x8	u_pp/u_nvm_arb	52	6	46
8x8	u_pp/g_rx_pool[0].u_rx_slots	92	48	44
8x8	u_pp/g_rx_pool[4].u_rx_slots	92	51	41
8x8	u_pp/u_release_merge	31	0	31
8x8	u_pp/g_rx_pool[2].u_rx_slots	92	63	29
8x8	u_pp/u_tx_arbiter	186	212	-26
8x8	ctl_fifo	65	88	-23
8x8	u_pp/g_rx_pool[5].u_rx_slots	92	114	-22
8x8	u_pp/u_prng	163	183	-20
8x8	u_pp/u_lsn_admit	14	0	14
8x8	u_pp/u_mrp_strip	71	81	-10
8x8	u_pp/u_desc_mem_guard	5	1	4
8x8	u_pp/u_trace	32	33	-1
8x8	u_listener	0	0	0
8x8	u_talker	0	0	0
8x8	@flattening_residual	-4498	0	-4498
8x8	@flat_total	65724	32350	33374
