t_s	port	src	kind	detail
0.000000000	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=63838 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
0.059831045	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54727 li=-3 spid=3cc0c6fffefe02100001
0.060562247	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54727 li=-3 spid=3cc0c6fffefe02100001
0.179784359	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54728 li=-3 spid=3cc0c6fffefe02100001
0.180520753	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54728 li=-3 spid=3cc0c6fffefe02100001
0.249660283	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1403 li=0 spid=3cc0c6fffefe02100001
0.249671267	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1403 li=127 spid=020000fffe0000010001
0.249678827	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1403 li=127 spid=020000fffe0000010001
0.309774937	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54729 li=-3 spid=3cc0c6fffefe02100001
0.310512930	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54729 li=-3 spid=3cc0c6fffefe02100001
0.351322202	3	02:00:00:00:00:01	MSRP	
0.429706243	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54730 li=-3 spid=3cc0c6fffefe02100001
0.430441028	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54730 li=-3 spid=3cc0c6fffefe02100001
0.537320119	3	02:00:00:00:00:01	MAAP	
0.551325464	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1311 li=0 spid=020000fffe0000010001
0.552084346	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1311 li=127 spid=3cc0c6fffefe02100001
0.553067364	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1311 li=127 spid=3cc0c6fffefe02100001
0.568950074	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54731 li=-3 spid=3cc0c6fffefe02100001
0.569528891	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54731 li=-3 spid=3cc0c6fffefe02100001
0.599063097	2	3c:c0:c6:fe:02:11	MVRP	
0.679760926	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54732 li=-3 spid=3cc0c6fffefe02100001
0.680503712	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54732 li=-3 spid=3cc0c6fffefe02100001
0.809800496	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54733 li=-3 spid=3cc0c6fffefe02100001
0.810533906	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54733 li=-3 spid=3cc0c6fffefe02100001
0.929726002	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54734 li=-3 spid=3cc0c6fffefe02100001
0.930455004	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54734 li=-3 spid=3cc0c6fffefe02100001
0.999966727	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=63839 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
1.059838948	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54735 li=-3 spid=3cc0c6fffefe02100001
1.060570574	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54735 li=-3 spid=3cc0c6fffefe02100001
1.179769678	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54736 li=-3 spid=3cc0c6fffefe02100001
1.180501872	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54736 li=-3 spid=3cc0c6fffefe02100001
1.239126730	2	3c:c0:c6:fe:02:11	MVRP	
1.249721403	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1404 li=0 spid=3cc0c6fffefe02100001
1.249732395	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1404 li=127 spid=020000fffe0000010001
1.249739955	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1404 li=127 spid=020000fffe0000010001
1.309768864	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54737 li=-3 spid=3cc0c6fffefe02100001
1.310505250	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54737 li=-3 spid=3cc0c6fffefe02100001
1.351324529	3	02:00:00:00:00:01	MSRP	
1.429708546	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54738 li=-3 spid=3cc0c6fffefe02100001
1.430445164	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54738 li=-3 spid=3cc0c6fffefe02100001
1.551327800	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1312 li=0 spid=020000fffe0000010001
1.552095482	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1312 li=127 spid=3cc0c6fffefe02100001
1.553084676	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1312 li=127 spid=3cc0c6fffefe02100001
1.568955193	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54739 li=-3 spid=3cc0c6fffefe02100001
1.569536003	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54739 li=-3 spid=3cc0c6fffefe02100001
1.599235232	2	3c:c0:c6:fe:02:11	MVRP	
1.679767646	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54740 li=-3 spid=3cc0c6fffefe02100001
1.680508448	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54740 li=-3 spid=3cc0c6fffefe02100001
1.809818416	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54741 li=-3 spid=3cc0c6fffefe02100001
1.810551825	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54741 li=-3 spid=3cc0c6fffefe02100001
1.929727890	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54742 li=-3 spid=3cc0c6fffefe02100001
1.930458523	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54742 li=-3 spid=3cc0c6fffefe02100001
1.939173976	2	3c:c0:c6:fe:02:10	ethertype 0x0800	
1.939381792	2	3c:c0:c6:fe:02:11	ethertype 0x0027	
2.000016839	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=63840 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
2.059859268	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54743 li=-3 spid=3cc0c6fffefe02100001
2.060586701	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54743 li=-3 spid=3cc0c6fffefe02100001
2.179749390	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54744 li=-3 spid=3cc0c6fffefe02100001
2.180482799	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54744 li=-3 spid=3cc0c6fffefe02100001
2.249687322	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1405 li=0 spid=3cc0c6fffefe02100001
2.249698322	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1405 li=127 spid=020000fffe0000010001
2.249705882	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1405 li=127 spid=020000fffe0000010001
2.309776767	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54745 li=-3 spid=3cc0c6fffefe02100001
2.310510785	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54745 li=-3 spid=3cc0c6fffefe02100001
2.351326865	3	02:00:00:00:00:01	MSRP	
2.429720481	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=54746 li=-3 spid=3cc0c6fffefe02100001
2.430456491	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=54746 li=-3 spid=3cc0c6fffefe02100001
2.551327303	3	02:00:00:00:00:01	MSRP	
2.551330119	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1313 li=0 spid=020000fffe0000010001
