yosys-portability	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:16Z	107314740619
verilator-suites	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:16Z	107314738959
Physical gPTP (nightly and manual)	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:15Z	107314737531
Yosys shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:15Z	107314737422
Verilator shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:15Z	107314737308
yosys-elaboration	completed	skipped	2026-09-23T18:08:05Z	2026-09-23T18:08:05Z	107314668903
verilator-lint	completed	skipped	2026-09-23T18:08:05Z	2026-09-23T18:08:05Z	107314668403
rtl-fast	completed	success	2026-09-23T18:08:08Z	2026-09-23T18:08:11Z	107314667151
bdd-conformance	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:08:00Z	107314543431
docs-check	completed	success	2026-09-23T18:07:49Z	2026-09-23T18:20:46Z	107314543291
full-ci-gate	completed	success	2026-09-23T18:07:50Z	2026-09-23T18:08:15Z	107314543177
changes	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:08:05Z	107314543115
docs-check-no-git	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:07:59Z	107314542877
elaborate	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:08:09Z	107314542732
wire-accountability	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:07:57Z	107314542714
