bdd-conformance	completed	success	2026-09-23T20:06:00Z	2026-09-23T20:06:11Z
changes	completed	success	2026-09-23T20:05:59Z	2026-09-23T20:06:14Z
docs-check	completed	success	2026-09-23T20:06:00Z	2026-09-23T20:19:17Z
docs-check-no-git	completed	success	2026-09-23T20:06:00Z	2026-09-23T20:06:11Z
elaborate	completed	success	2026-09-23T20:05:59Z	2026-09-23T20:06:12Z
full-ci-gate	completed	success	2026-09-23T20:06:00Z	2026-09-23T20:06:20Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-23T20:06:21Z	2026-09-23T20:06:21Z
rtl-fast	completed	success	2026-09-23T20:06:16Z	2026-09-23T20:06:19Z
verilator-lint	completed	skipped	2026-09-23T20:06:14Z	2026-09-23T20:06:14Z
Verilator shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-23T20:06:21Z	2026-09-23T20:06:21Z
verilator-suites	completed	skipped	2026-09-23T20:06:21Z	2026-09-23T20:06:21Z
wire-accountability	completed	success	2026-09-23T20:05:59Z	2026-09-23T20:06:07Z
yosys-elaboration	completed	skipped	2026-09-23T20:06:14Z	2026-09-23T20:06:14Z
yosys-portability	completed	skipped	2026-09-23T20:06:21Z	2026-09-23T20:06:21Z
Yosys shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-23T20:06:21Z	2026-09-23T20:06:21Z
