bdd-conformance	completed	success	2026-09-24T00:16:05Z	2026-09-24T00:16:22Z
changes	completed	success	2026-09-24T00:16:04Z	2026-09-24T00:16:19Z
docs-check	completed	success	2026-09-24T00:16:05Z	2026-09-24T00:27:05Z
docs-check-no-git	completed	success	2026-09-24T00:16:04Z	2026-09-24T00:16:14Z
elaborate	completed	success	2026-09-24T00:16:04Z	2026-09-24T00:16:20Z
full-ci-gate	completed	success	2026-09-24T00:16:05Z	2026-09-24T00:16:26Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-24T00:16:27Z	2026-09-24T00:16:26Z
rtl-fast	completed	success	2026-09-24T00:16:26Z	2026-09-24T00:16:30Z
verilator-lint	completed	skipped	2026-09-24T00:16:19Z	2026-09-24T00:16:19Z
Verilator shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-24T00:16:27Z	2026-09-24T00:16:26Z
verilator-suites	completed	skipped	2026-09-24T00:16:27Z	2026-09-24T00:16:26Z
wire-accountability	completed	success	2026-09-24T00:16:04Z	2026-09-24T00:16:12Z
yosys-elaboration	completed	skipped	2026-09-24T00:16:19Z	2026-09-24T00:16:19Z
yosys-portability	completed	skipped	2026-09-24T00:16:27Z	2026-09-24T00:16:26Z
Yosys shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-24T00:16:26Z	2026-09-24T00:16:26Z
