bdd-conformance	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:08:00Z	8016f7ac843b
changes	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:08:05Z	8016f7ac843b
docs-check	completed	success	2026-09-23T18:07:49Z	2026-09-23T18:20:46Z	8016f7ac843b
docs-check-no-git	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:07:59Z	8016f7ac843b
elaborate	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:08:09Z	8016f7ac843b
full-ci-gate	completed	success	2026-09-23T18:07:50Z	2026-09-23T18:08:15Z	8016f7ac843b
Physical gPTP (nightly and manual)	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:15Z	8016f7ac843b
rtl-fast	completed	success	2026-09-23T18:08:08Z	2026-09-23T18:08:11Z	8016f7ac843b
verilator-lint	completed	skipped	2026-09-23T18:08:05Z	2026-09-23T18:08:05Z	8016f7ac843b
Verilator shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:15Z	8016f7ac843b
verilator-suites	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:16Z	8016f7ac843b
wire-accountability	completed	success	2026-09-23T18:07:48Z	2026-09-23T18:07:57Z	8016f7ac843b
yosys-elaboration	completed	skipped	2026-09-23T18:08:05Z	2026-09-23T18:08:05Z	8016f7ac843b
yosys-portability	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:16Z	8016f7ac843b
Yosys shard ${{ matrix.shard }}/${{ matrix.total }}	completed	skipped	2026-09-23T18:08:16Z	2026-09-23T18:08:15Z	8016f7ac843b
