control	rc=0	control-pass
inventory image/geometry ambiguity guard	rc=1	killed
package geometry declaration uniqueness	rc=1	killed
microcode depth 1<<UPC_W_C	rc=1	killed
wrapper declaration equality	rc=1	killed
empty parameter block	rc=1	killed
integrated output directory guard	rc=1	killed
attribution requires integrated build	rc=1	killed
CLI integrated-endpoint exclusivity	rc=1	killed
single synth_design command	rc=1	killed
image pathname character guard	rc=1	killed
split_once uniqueness	rc=1	killed
ROM_ERROR severity text	rc=1	killed
ROM_ERROR placed after synthesis	rc=1	killed
KEEP_HIERARCHY on wrong cell	rc=1	killed
hexadecimal-only ROM check scoped to non-empty	rc=1	killed
