pristine	rc=0
R1-drop_rom_error_promotion	selftest FAIL (mutant killed)
R1-drop_readmemh_set_check	selftest FAIL (mutant killed)
R1-skip_param_rom_geometry	selftest FAIL (mutant killed)
R1-drop_output_outside_repo_check	selftest FAIL (mutant killed)
R1-control_width_check_removed	selftest FAIL (mutant killed)
R2-generated_rom_depth_dropped	selftest FAIL (mutant killed)
R2-generated_rom_width_dropped	selftest FAIL (mutant killed)
R2-param_rom_width_dropped	selftest FAIL (mutant killed)
R2-param_rom_ambiguity_refusal_dropped	selftest FAIL (mutant killed)
R2-package_declaration_ambiguity_dropped	selftest FAIL (mutant killed)
R2-integrated_directory_guard_dropped	selftest FAIL (mutant killed)
R2-attribution_requires_integrated_dropped	selftest FAIL (mutant killed)
R2-cli_attribution_endpoint_guard_dropped	selftest FAIL (mutant killed)
R2-unfiltered_hierarchy_report_dropped	selftest FAIL (mutant killed)
R2-wrapper_parameter_set_equality_dropped	selftest FAIL (mutant killed)
R2-duplicate_parameter_refusal_dropped	selftest FAIL (mutant killed)
R2-ooc_single_synth_command_dropped	selftest FAIL (mutant killed)
