     3 RAMB18E1   ctl_fifo/mem/0
     1 DSP48E1    flatten\u_nvm/ooc
     1 DSP48E1    flatten\u_pp/\u_adp
     1 DSP48E1    flatten\u_pp/\u_aecp/\u_store
     2 DSP48E1    flatten\u_pp/\u_srp/\u_admission
     1 RAMB36E1   u_pp/g_rx_pool[0]/u_rx_slots
     1 RAMB36E1   u_pp/g_rx_pool[1]/u_rx_slots
     1 RAMB36E1   u_pp/g_rx_pool[2]/u_rx_slots
     1 RAMB36E1   u_pp/g_rx_pool[4]/u_rx_slots
     1 RAMB36E1   u_pp/g_rx_pool[5]/u_rx_slots
     6 RAM32M     u_pp/u_adp/disc_rec_r
     1 RAMB36E1   u_pp/u_aecp/amap_stage_r
    22 RAM32M     u_pp/u_aecp/u_store
     2 RAMB36E1   u_pp/u_aecp/u_store
    32 RAM32M     u_pp/u_aecp/u_ucpu
     3 RAMB36E1   u_pp/u_aecp/u_ucpu
    37 RAM32M     u_pp/u_dispatch/u_acmp_q
    16 RAM32M     u_pp/u_dispatch/u_adp_q
    44 RAM32M     u_pp/u_dispatch/u_aecp_q
    32 RAM32M     u_pp/u_dispatch/u_maap_q
    52 RAM32M     u_pp/u_listener/rec_ram_r
     1 RAMB36E1   u_pp/u_mrp_strip/ram_r
     3 RAM32M     u_pp/u_notify/cmdq_arg0_r
     3 RAM32M     u_pp/u_notify/cmdq_arg1_r
     1 RAM32M     u_pp/u_notify/cmdq_class_r
    11 RAM32M     u_pp/u_notify/cmdq_excl_r
     3 RAM32M     u_pp/u_notify/cmdq_index_r
     3 RAM32M     u_pp/u_notify/cmdq_type_r
  1024 RAM32M     u_pp/u_notify/rows_r
    25 RAM32M     u_pp/u_nvm_shadow/shw_ram_r
    76 RAM32M     u_pp/u_originator/key_r
    12 RAM32M     u_pp/u_originator/seq_r
     3 RAM32M     u_pp/u_originator/tout_r
     2 RAM32M     u_pp/u_originator/tslot_r
     3 RAM64M     u_pp/u_rx_validator/mrp_mem_r
     1 RAMB18E1   u_pp/u_srp/u_decoder
    52 RAM32M     u_pp/u_srp/u_encoder
     3 RAM32M     u_pp/u_srp/u_vlan
    14 RAM32M     u_pp/u_talker/rec_ram_r
    14 RAM64M     u_pp/u_timer/slot_ram_r
     2 RAMB36E1   u_pp/u_trace/mem_r
     1 RAMB36E1   u_pp/u_tx_slots/mem_r
