instance	hierarchical_Yosys	raw_Vivado	difference
u_pp/u_srp	13924	4971	8953
u_pp/@own	7075	628	6447
u_pp/u_notify	7090	3305	3785
u_pp/u_aecp	6056	5239	817
u_pp/u_normalizer	826	18	808
u_pp/u_originator	1543	852	691
u_pp/u_nvm_shadow	1264	698	566
u_pp/u_rx_validator	1228	663	565
u_pp/u_dispatch	71	552	-481
u_nvm	1069	595	474
u_pp/u_timer	329	761	-432
u_pp/u_adp	1009	656	353
@own	358	13	345
u_pp/u_ca_builder	514	170	344
u_pp/u_talker	1194	984	210
u_pp/u_scoreboard	277	77	200
u_pp/u_listener	1977	1782	195
u_pp/u_maap	914	1067	-153
u_pp/u_nvm_port	198	328	-130
u_pp/g_rx_pool[3].u_rx_slots	92	0	92
u_pp/u_event_router	379	295	84
u_pp/u_side_port	116	57	59
u_pp/g_rx_pool[1].u_rx_slots	92	37	55
u_pp/u_nvm_arb	52	7	45
u_pp/u_tx_slots	334	290	44
u_pp/g_rx_pool[4].u_rx_slots	92	49	43
u_pp/g_rx_pool[0].u_rx_slots	92	53	39
u_pp/u_tx_arbiter	186	220	-34
u_pp/u_release_merge	31	0	31
u_pp/g_rx_pool[2].u_rx_slots	92	63	29
ctl_fifo	65	88	-23
u_pp/g_rx_pool[5].u_rx_slots	92	111	-19
u_pp/u_prng	163	181	-18
u_pp/u_trace	32	45	-13
u_pp/u_mrp_strip	71	82	-11
u_pp/u_lsn_admit	13	3	10
u_pp/u_desc_mem_guard	5	1	4
u_srp	0	0	0
@flattening_residual	-7657	0	-7657
@flat_total	41258	24941	16317
