Physical gPTP (nightly and manual) | completed | skipped | ae729bbf
Verilator shard 3/5 | in_progress | None | ae729bbf
Verilator shard 2/5 | in_progress | None | ae729bbf
Yosys shard 2/4 | completed | success | ae729bbf
Yosys shard 0/4 | completed | success | ae729bbf
Verilator shard 0/5 | in_progress | None | ae729bbf
Verilator shard 4/5 | in_progress | None | ae729bbf
Yosys shard 1/4 | completed | success | ae729bbf
Verilator shard 1/5 | in_progress | None | ae729bbf
Yosys shard 3/4 | completed | success | ae729bbf
full-ci-gate | completed | success | ae729bbf
verilator-lint | completed | success | ae729bbf
yosys-elaboration | in_progress | None | ae729bbf
bdd-conformance | completed | success | ae729bbf
elaborate | in_progress | None | ae729bbf
changes | completed | success | ae729bbf
docs-check | in_progress | None | ae729bbf
wire-accountability | completed | success | ae729bbf
docs-check-no-git | completed | success | ae729bbf
