@unattributed	38455
u_pp/u_srp	859
u_pp/u_aecp	569
u_pp/u_talker	357
u_pp/u_listener	323
u_pp/u_nvm_shadow	156
u_pp/u_notify	137
u_nvm	101
u_pp/u_adp	38
u_pp/u_tx_slots	31
u_pp/@own	28
u_pp/u_side_port	24
u_pp/u_ca_builder	23
u_pp/u_event_router	22
u_pp/u_scoreboard	20
u_pp/u_maap	19
u_pp/g_rx_pool[5].u_rx_slots	15
u_pp/u_rx_validator	13
u_pp/u_nvm_arb	10
u_pp/g_rx_pool[1].u_rx_slots	10
u_pp/u_prng	9
u_pp/u_dispatch	8
u_pp/g_rx_pool[0].u_rx_slots	5
u_pp/u_normalizer	5
u_pp/u_originator	4
u_pp/u_tx_arbiter	3
u_pp/g_rx_pool[2].u_rx_slots	3
u_pp/g_rx_pool[4].u_rx_slots	3
u_pp/u_nvm_port	2
u_pp/u_mrp_strip	2
ctl_fifo	1
u_pp/u_timer	1
u_pp/u_desc_mem_guard	1
u_pp/u_lsn_admit	1
