parent	child	primitives
milan_datapath/pp_shadow	ctl_fifo	128
milan_datapath/pp_shadow	u_nvm	1120
milan_datapath/pp_shadow	u_pp	52743
milan_datapath/pp_shadow	@own	371
milan_datapath/pp_shadow/u_pp	g_rx_pool[0].u_rx_slots	105
milan_datapath/pp_shadow/u_pp	g_rx_pool[1].u_rx_slots	69
milan_datapath/pp_shadow/u_pp	g_rx_pool[2].u_rx_slots	131
milan_datapath/pp_shadow/u_pp	g_rx_pool[4].u_rx_slots	70
milan_datapath/pp_shadow/u_pp	g_rx_pool[5].u_rx_slots	174
milan_datapath/pp_shadow/u_pp	u_adp	1290
milan_datapath/pp_shadow/u_pp	u_aecp	9103
milan_datapath/pp_shadow/u_pp	u_ca_builder	353
milan_datapath/pp_shadow/u_pp	u_desc_mem_guard	3
milan_datapath/pp_shadow/u_pp	u_dispatch	2384
milan_datapath/pp_shadow/u_pp	u_event_router	347
milan_datapath/pp_shadow/u_pp	u_listener	2941
milan_datapath/pp_shadow/u_pp	u_lsn_admit	3
milan_datapath/pp_shadow/u_pp	u_maap	1674
milan_datapath/pp_shadow/u_pp	u_mrp_strip	210
milan_datapath/pp_shadow/u_pp	u_normalizer	324
milan_datapath/pp_shadow/u_pp	u_notify	7078
milan_datapath/pp_shadow/u_pp	u_nvm_arb	21
milan_datapath/pp_shadow/u_pp	u_nvm_port	471
milan_datapath/pp_shadow/u_pp	u_nvm_shadow	2082
milan_datapath/pp_shadow/u_pp	u_originator	1834
milan_datapath/pp_shadow/u_pp	u_prng	359
milan_datapath/pp_shadow/u_pp	u_release_merge	5
milan_datapath/pp_shadow/u_pp	u_rx_validator	1529
milan_datapath/pp_shadow/u_pp	u_scoreboard	171
milan_datapath/pp_shadow/u_pp	u_side_port	63
milan_datapath/pp_shadow/u_pp	u_srp	12318
milan_datapath/pp_shadow/u_pp	u_talker	1656
milan_datapath/pp_shadow/u_pp	u_timer	1163
milan_datapath/pp_shadow/u_pp	u_trace	70
milan_datapath/pp_shadow/u_pp	u_tx_arbiter	438
milan_datapath/pp_shadow/u_pp	u_tx_slots	621
milan_datapath/pp_shadow/u_pp	@own	3683
