scope	instance	LUT_rank	FF_rank	LUT	logic_LUT	LUTRAM	SRL	FF	RAMB36	RAMB18	DSP
wrapper	u_pp	1	1	21762	20560	1202	0	23704	20	2	4
wrapper	u_nvm	2	2	507	507	0	0	469	0	0	1
wrapper	ctl_fifo	3	4	79	79	0	0	33	1	1	0
wrapper	@own	4	3	11	11	0	0	327	0	0	0
wrapper	@reconciliation			-9	-9	0	0	0	0	0	0
wrapper	@total			22350	21148	1202	0	24533	21	3	5
u_pp	u_aecp	1	4	4663	4443	220	0	3010	6	0	1
u_pp	u_srp	2	1	4296	4110	186	0	6377	0	1	2
u_pp	u_notify	3	2	3150	3054	96	0	3299	0	0	0
u_pp	u_listener	4	5	1553	1553	0	0	1099	5	0	0
u_pp	u_dispatch	5	9	879	403	476	0	759	0	0	0
u_pp	u_talker	6	10	860	804	56	0	514	0	0	0
u_pp	u_originator	7	7	771	751	20	0	885	0	0	0
u_pp	u_nvm_shadow	8	6	746	646	100	0	1083	0	0	0
u_pp	u_maap	9	11	727	727	0	0	499	0	0	0
u_pp	u_timer	10	15	694	694	0	0	179	1	0	0
u_pp	u_adp	11	12	622	574	48	0	463	0	0	1
u_pp	@own	12	3	566	566	0	0	3242	0	0	0
u_pp	u_rx_validator	13	8	510	510	0	0	773	0	1	0
u_pp	u_nvm_port	14	19	271	271	0	0	121	0	0	0
u_pp	u_event_router	15	24	233	233	0	0	51	0	0	0
u_pp	u_tx_slots	16	18	219	219	0	0	138	1	0	0
u_pp	u_tx_arbiter	17	14	186	186	0	0	187	0	0	0
u_pp	u_prng	18	17	156	156	0	0	150	0	0	0
u_pp	u_ca_builder	19	16	155	155	0	0	152	0	0	0
u_pp	g_rx_pool[5].u_rx_slots	20	23	90	90	0	0	62	1	0	0
u_pp	u_mrp_strip	21	20	72	72	0	0	107	1	0	0
u_pp	u_scoreboard	22	21	63	63	0	0	73	0	0	0
u_pp	u_side_port	23	29	53	53	0	0	6	0	0	0
u_pp	g_rx_pool[2].u_rx_slots	24	22	52	52	0	0	62	1	0	0
u_pp	g_rx_pool[0].u_rx_slots	25	25	44	44	0	0	38	1	0	0
u_pp	g_rx_pool[4].u_rx_slots	26	27	40	40	0	0	22	1	0	0
u_pp	u_trace	27	28	40	40	0	0	18	1	0	0
u_pp	g_rx_pool[1].u_rx_slots	28	26	29	29	0	0	22	1	0	0
u_pp	u_normalizer	29	13	16	16	0	0	304	0	0	0
u_pp	u_nvm_arb	30	31	6	6	0	0	3	0	0	0
u_pp	u_lsn_admit	31	33	2	2	0	0	1	0	0	0
u_pp	u_desc_mem_guard	32	32	1	1	0	0	1	0	0	0
u_pp	u_release_merge	33	30	0	0	0	0	4	0	0	0
u_pp	@reconciliation			-3	-3	0	0	0	0	0	0
u_pp	@total			21762	20560	1202	0	23704	20	2	4
