ae729bbfd90934f4d56d3b02f1ffc652496b414d
docs	docs-check	IN_PROGRESS	
elaborate	elaborate	IN_PROGRESS	
rtl-fast	changes	COMPLETED	SUCCESS
rtl-full	full-ci-gate	COMPLETED	SUCCESS
rtl-full	Verilator shard 0/5	IN_PROGRESS	
docs	wire-accountability	COMPLETED	SUCCESS
rtl-fast	bdd-conformance	COMPLETED	SUCCESS
rtl-full	Verilator shard 1/5	IN_PROGRESS	
rtl-full	Verilator shard 2/5	IN_PROGRESS	
rtl-full	Verilator shard 3/5	COMPLETED	SUCCESS
rtl-full	Verilator shard 4/5	IN_PROGRESS	
rtl-full	Physical gPTP (nightly and manual)	COMPLETED	SKIPPED
docs	docs-check-no-git	COMPLETED	SUCCESS
rtl-fast	verilator-lint	COMPLETED	SUCCESS
rtl-fast	yosys-elaboration	COMPLETED	SUCCESS
rtl-full	Yosys shard 0/4	COMPLETED	SUCCESS
rtl-full	Yosys shard 1/4	COMPLETED	SUCCESS
rtl-full	Yosys shard 2/4	COMPLETED	SUCCESS
rtl-full	Yosys shard 3/4	COMPLETED	SUCCESS
rtl-fast	rtl-fast	COMPLETED	SUCCESS
