01 exit=0  python3 scripts/docs_check.py
02 exit=0  python3 scripts/gen_toc.py --check
03 exit=0  python3 scripts/gen_toc.py --verify-anchors
04 exit=0  python3 scripts/check_em_dash.py --base 52711029f374650dc93830d5ea28e81cb5c8f410
05 exit=0  python3 scripts/check_doc_style.py
06 exit=0  python3 scripts/check_doc_paths.py
07 exit=2  python3 scripts/check_sv_idiom.py
08 exit=2  python3 scripts/check_cpp_idiom.py
09 exit=2  python3 scripts/check_py_idiom.py
10 exit=2  python3 scripts/check_sh_idiom.py
11 exit=2  python3 scripts/measure_test_evidence.py --check
12 exit=0  python3 scripts/suite_tally.py --selftest
13 exit=2  python3 scripts/check_hygiene.py --check
14 exit=0  git diff --check 52711029f374650dc93830d5ea28e81cb5c8f410 059c3a60b8290873ed9fd14673f9981e8af754ce
15 exit=0  python3 tb/verilator/ptp_ts/sva_campaign.py --list
16 exit=0  python3 scripts/check_sv_idiom.py
17 exit=0  python3 scripts/check_cpp_idiom.py
18 exit=0  python3 scripts/check_py_idiom.py
19 exit=0  python3 scripts/check_sh_idiom.py
20 exit=0  python3 scripts/measure_test_evidence.py --check
21 exit=0  python3 scripts/check_hygiene.py --check
