[ok] clean leg, feed delay 0: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 1: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 2: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 3: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 4: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 5: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 6: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 10..10 (the accept phase, not graded)
[ok] clean leg, feed delay 7: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 10..10 (the accept phase, not graded)
[ok] clean leg, feed delay 8: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 10..10 (the accept phase, not graded)
[ok] clean leg, feed delay 9: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 10..10 (the accept phase, not graded)
[ok] clean leg, feed delay 10: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 10..10 (the accept phase, not graded)
[ok] clean leg, feed delay 11: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 10..10 (the accept phase, not graded)
[ok] clean leg, feed delay 12: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..10 (the accept phase, not graded)
[ok] clean leg, feed delay 13: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 14: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 15: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 16: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 17: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 18: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 19: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 20: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 21: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 22: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 23: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 24: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 25: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 26: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 27: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 28: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 29: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 30: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
