delay=0 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=1 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=2 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=3 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=4 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=5 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=6 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=7 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=8 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=9 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=10 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=11 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=12 | checks: 48   failures: 0 | push=14..14 accept=9..10 | EXIT=0 | fails: none
delay=13 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=14 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=15 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=16 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=17 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=18 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=19 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=20 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=21 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=22 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=23 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=24 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=25 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=26 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=27 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=28 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=29 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=30 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=31 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=32 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=33 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
