delay=0 rebase=['+132'] toggle=['+116'] interval=['642.0'] held=['224891'] pause=['708'] tally=[('48', '0')]
delay=1 rebase=['+132'] toggle=['+115'] interval=['642.0'] held=['224890'] pause=['709'] tally=[('48', '0')]
delay=2 rebase=['+132'] toggle=['+114'] interval=['642.0'] held=['224889'] pause=['710'] tally=[('48', '0')]
delay=3 rebase=['+132'] toggle=['+113'] interval=['642.0'] held=['224888'] pause=['711'] tally=[('48', '0')]
delay=4 rebase=['+132'] toggle=['+112'] interval=['642.0'] held=['224887'] pause=['712'] tally=[('48', '0')]
delay=5 rebase=['+132'] toggle=['+111'] interval=['642.0'] held=['224886'] pause=['713'] tally=[('48', '0')]
delay=6 rebase=['+132'] toggle=['+110'] interval=['642.0'] held=['224885'] pause=['714'] tally=[('48', '0')]
delay=7 rebase=['+132'] toggle=['+109'] interval=['642.0'] held=['224884'] pause=['715'] tally=[('48', '0')]
delay=8 rebase=['+132'] toggle=['+108'] interval=['642.0'] held=['224883'] pause=['716'] tally=[('48', '0')]
delay=9 rebase=['+132'] toggle=['+107'] interval=['642.0'] held=['224882'] pause=['717'] tally=[('48', '0')]
delay=10 rebase=['+132'] toggle=['+106'] interval=['642.0'] held=['224881'] pause=['718'] tally=[('48', '0')]
delay=11 rebase=['+132'] toggle=['+105'] interval=['642.0'] held=['224880'] pause=['719'] tally=[('48', '0')]
delay=12 rebase=['+132'] toggle=['+104'] interval=['642.0'] held=['224879'] pause=['720'] tally=[('48', '0')]
delay=13 rebase=['+132'] toggle=['+103'] interval=['642.0'] held=['224878'] pause=['721'] tally=[('48', '0')]
delay=14 rebase=['+132'] toggle=['+102'] interval=['642.0'] held=['224877'] pause=['722'] tally=[('48', '0')]
delay=15 rebase=['+132'] toggle=['+101'] interval=['642.0'] held=['224876'] pause=['723'] tally=[('48', '0')]
delay=16 rebase=['+132'] toggle=['+100'] interval=['642.0'] held=['224875'] pause=['724'] tally=[('48', '0')]
delay=17 rebase=['+132'] toggle=['+99'] interval=['642.0'] held=['224874'] pause=['725'] tally=[('48', '0')]
delay=18 rebase=['+132'] toggle=['+98'] interval=['642.0'] held=['224873'] pause=['726'] tally=[('48', '0')]
delay=19 rebase=['+132'] toggle=['+97'] interval=['642.0'] held=['224872'] pause=['727'] tally=[('48', '0')]
