rc	gate
0	docs_check
0	em_dash_base_parent
0	em_dash_selftest
0	doc_style
0	doc_style_selftest
0	gptp_docs
0	gptp_docs_with_submodule
0	gptp_docs_selftest
0	doc_map_check
0	doc_map_selftest
0	timesync_chain_check
0	solution_docs
0	solution_docs_selftest
0	submodule_boundaries
0	submodule_docs
0	submodule_docs_selftest
0	diagram_pngs
0	feature_status
0	feature_status_selftest
0	module_matrix_check
0	ci_events_check
0	ci_events_selftest
0	doc_paths
0	archive
0	toc_selftest
0	toc_verify_anchors
0	toc_check
0	hygiene_check
0	baremetal_only_check
0	port_contracts
0	test_evidence_check
0	todo_ownership
