bdd-conformance | completed | success | 2026-09-25T13:43:16Z | 2026-09-25T13:43:26Z
changes | completed | success | 2026-09-25T13:43:16Z | 2026-09-25T13:43:34Z
docs-check | completed | success | 2026-09-25T13:43:16Z | 2026-09-25T14:03:06Z
docs-check-no-git | completed | success | 2026-09-25T13:43:16Z | 2026-09-25T13:43:27Z
elaborate | completed | success | 2026-09-25T13:43:16Z | 2026-09-25T13:59:42Z
full-ci-gate | completed | success | 2026-09-25T13:43:16Z | 2026-09-25T13:43:38Z
Physical gPTP (nightly and manual) | completed | skipped | 2026-09-25T13:43:38Z | 2026-09-25T13:43:38Z
rtl-fast | completed | success | 2026-09-25T13:53:48Z | 2026-09-25T13:53:50Z
verilator-lint | completed | success | 2026-09-25T13:43:37Z | 2026-09-25T13:44:04Z
Verilator shard 0/5 | completed | success | 2026-09-25T13:43:40Z | 2026-09-25T13:56:39Z
Verilator shard 1/5 | completed | failure | 2026-09-25T13:43:49Z | 2026-09-25T14:09:58Z
Verilator shard 2/5 | completed | success | 2026-09-25T13:43:51Z | 2026-09-25T13:59:27Z
Verilator shard 3/5 | completed | success | 2026-09-25T13:43:57Z | 2026-09-25T13:53:37Z
Verilator shard 4/5 | completed | success | 2026-09-25T13:43:40Z | 2026-09-25T14:27:09Z
verilator-suites | completed | failure | 2026-09-25T14:27:12Z | 2026-09-25T14:27:22Z
wire-accountability | completed | success | 2026-09-25T13:43:16Z | 2026-09-25T13:43:33Z
yosys-elaboration | completed | success | 2026-09-25T13:43:37Z | 2026-09-25T13:53:45Z
yosys-portability | completed | success | 2026-09-25T14:27:25Z | 2026-09-25T14:27:34Z
Yosys shard 0/4 | completed | success | 2026-09-25T13:43:40Z | 2026-09-25T13:44:11Z
Yosys shard 1/4 | completed | success | 2026-09-25T13:43:40Z | 2026-09-25T13:44:10Z
Yosys shard 2/4 | completed | success | 2026-09-25T13:43:40Z | 2026-09-25T13:44:06Z
Yosys shard 3/4 | completed | success | 2026-09-25T13:43:40Z | 2026-09-25T13:44:07Z
