01 rc=0 | links | python3 scripts/docs_check.py
02 rc=0 | emdash | python3 scripts/check_em_dash.py --base 220cb5a34507bb79bbf976b031bb55eb05543d6f
03 rc=0 | style | python3 scripts/check_doc_style.py
04 rc=0 | style | python3 scripts/check_doc_style.py --selftest
05 rc=0 | style | python3 scripts/check_gptp_docs.py
06 rc=0 | style | python3 scripts/check_gptp_docs.py --selftest
07 rc=0 | diagrams | python3 docs/DOC_MAP.gen.py --check
08 rc=0 | diagrams | python3 docs/DOC_MAP.gen.py --selftest
09 rc=0 | diagrams | python3 docs/diagrams/timesync_chain.gen.py --check
10 rc=0 | diagrams | python3 docs/diagrams/timesync_chain.gen.py --selftest
11 rc=0 | solution | python3 scripts/check_solution_docs.py
12 rc=0 | solution | python3 scripts/check_solution_docs.py --selftest
13 rc=0 | submodule | python3 docs/diagrams/submodule_boundaries.gen.py --check
14 rc=0 | submodule | python3 docs/diagrams/submodule_boundaries.gen.py --selftest
15 rc=0 | submodule | python3 scripts/check_submodule_docs.py
16 rc=0 | submodule | python3 scripts/check_submodule_docs.py --selftest
17 rc=0 | wavedrom | python3 scripts/gen_wavedrom.py --selftest
18 rc=0 | wavedrom | python3 scripts/gen_wavedrom.py docs/diagrams/wd_axis_backpressure.json --background=white --check
19 rc=0 | wavedrom | python3 scripts/gen_wavedrom.py docs/diagrams/wd_cdc_handshake.json --background=white --check
20 rc=0 | wavedrom | python3 scripts/gen_wavedrom.py docs/diagrams/wd_gptp_pdelay.json --background=white --check
21 rc=0 | png | python3 scripts/check_diagram_pngs.py
22 rc=0 | png | python3 scripts/check_diagram_pngs.py --selftest
23 rc=0 | feature | python3 scripts/check_feature_status.py --self-test
24 rc=0 | trace | python3 docs/traceability/gen_module_matrix.py --check
25 rc=0 | gptp-sub | python3 scripts/check_gptp_docs.py --with-submodule
26 rc=0 | gptp-sub | make -C gptp-processor docs
27 rc=0 | quality | python3 scripts/measure_control_flow.py --selftest
28 rc=0 | quality | python3 scripts/measure_cohesion.py --selftest
29 rc=0 | baremetal | python3 scripts/check_baremetal_only.py --check
30 rc=0 | baremetal | python3 scripts/check_baremetal_only.py --selftest
31 rc=0 | fw-absent | python3 sw/builder/test_firmware_compiler.py --selftest
32 rc=0 | fw-absent | python3 sw/builder/test_firmware_compiler.py --absent --audit $REVIEWS/400-403-r250-6-packet/receipts/docs-check/rv32-absent.jsonl
33 rc=0 | builder | python3 sw/builder/test_builder.py --require-rv32
34 rc=0 | nvm-space | python3 scripts/check_nvm_record_space.py
35 rc=0 | nvm-space | python3 scripts/check_nvm_record_space.py --self-test
36 rc=0 | capture | python3 scripts/check_nvm_capture.py
37 rc=0 | writer | python3 sw/firmware/nvm_hosttest/test_nvm_firmware.py --self-test
38 rc=0 | soc-src | python3 scripts/check_soc_sources.py
39 rc=0 | soc-src | python3 scripts/check_soc_sources.py --selftest
40 rc=0 | soc-src | python3 sw/litex/iob_pack_selftest.py
41 rc=0 | rtl-src | python3 scripts/check_rtl_source_lists.py
42 rc=0 | rtl-src | python3 scripts/check_rtl_source_lists.py --selftest
43 rc=0 | naming | python3 scripts/measure_naming.py --check
44 rc=0 | naming | python3 scripts/measure_naming.py --selftest
45 rc=0 | ports | python3 scripts/check_port_contracts.py
46 rc=0 | ports | python3 scripts/check_port_contracts.py --selftest
47 rc=0 | failfast | python3 scripts/measure_fail_fast.py --check
48 rc=0 | failfast | python3 scripts/measure_fail_fast.py --selftest
49 rc=0 | todo | python3 scripts/check_todo_ownership.py
50 rc=0 | todo | python3 scripts/check_todo_ownership.py --selftest
51 rc=0 | evidence | python3 scripts/measure_test_evidence.py --check
52 rc=0 | evidence | python3 scripts/measure_test_evidence.py --selftest
53 rc=0 | hygiene | python3 scripts/check_hygiene.py --check
54 rc=0 | hygiene | python3 scripts/check_hygiene.py --selftest
55 rc=0 | sv | python3 scripts/check_sv_idiom.py
56 rc=0 | sv | python3 scripts/check_sv_idiom.py --selftest
57 rc=0 | cpp | python3 scripts/check_cpp_idiom.py
58 rc=0 | cpp | python3 scripts/check_cpp_idiom.py --selftest
59 rc=0 | py | python3 scripts/check_py_idiom.py
60 rc=0 | py | python3 scripts/check_py_idiom.py --selftest
61 rc=0 | sh | python3 scripts/check_sh_idiom.py
62 rc=0 | sh | python3 scripts/check_sh_idiom.py --selftest
63 rc=0 | ci-events | python3 scripts/ci_events.py --check
64 rc=0 | ci-events | python3 scripts/ci_events.py --selftest
65 rc=0 | doc-paths | python3 scripts/check_doc_paths.py
66 rc=0 | archive | python3 scripts/check_archive.py
67 rc=0 | archive | python3 scripts/check_archive.py --selftest
68 rc=0 | toc | python3 scripts/gen_toc.py --selftest
69 rc=0 | toc | python3 scripts/gen_toc.py --verify-anchors
70 rc=0 | toc | python3 scripts/gen_toc.py --check
71 rc=0 | aem | python3 avdecc/gen_aem_store.py --self-test
72 rc=0 | sweep | python3 scripts/check_sweep_shape.py --self-test
73 rc=0 | deploy | python3 scripts/check_deploy_shape.py --self-test
74 rc=0 | entity | python3 scripts/check_entity_shape.py --self-test
75 rc=0 | wire | python3 scripts/check_wire_accountability.py --self-test
FAILED 0 of 75
