bdd-conformance | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
changes | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
docs-check | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
docs-check-no-git | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
elaborate | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
full-ci-gate | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Physical gPTP (nightly and manual) | completed | skipped | 991d59653ff82ccf73ef4df9477de1df8c8c5964
rtl-fast | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
verilator-lint | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Verilator shard 0/5 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Verilator shard 1/5 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Verilator shard 2/5 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Verilator shard 3/5 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Verilator shard 4/5 | in_progress | null | 991d59653ff82ccf73ef4df9477de1df8c8c5964
wire-accountability | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
yosys-elaboration | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Yosys shard 0/4 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Yosys shard 1/4 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Yosys shard 2/4 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
Yosys shard 3/4 | completed | success | 991d59653ff82ccf73ef4df9477de1df8c8c5964
read 2026-09-24T17:26:47Z
