utf-8: 0 non-identity two-byte sequences; first: []
latin-1: 0 non-identity two-byte sequences; first: []
ascii: 0 non-identity two-byte sequences; first: []
shift_jis: 0 non-identity two-byte sequences; first: []
cp932: 398 non-identity two-byte sequences; first: [('8790', '81e0'), ('8791', '81df'), ('8792', '81e7'), ('8795', '81e3')]
euc_jp: 0 non-identity two-byte sequences; first: []
euc_jis_2004: 0 non-identity two-byte sequences; first: []
shift_jis_2004: 0 non-identity two-byte sequences; first: []
big5: 4 non-identity two-byte sequences; first: [('a1fe', 'a241'), ('a240', 'a242'), ('a2cc', 'a451'), ('a2ce', 'a4ca')]
big5hkscs: 12 non-identity two-byte sequences; first: [('a1fe', 'a241'), ('a240', 'a242'), ('a27e', 'f9fa'), ('a2a1', 'f9fb')]
gbk: 0 non-identity two-byte sequences; first: []
gb18030: 0 non-identity two-byte sequences; first: []
euc_kr: 0 non-identity two-byte sequences; first: []
cp949: 0 non-identity two-byte sequences; first: []
koi8_r: 0 non-identity two-byte sequences; first: []
cp1251: 0 non-identity two-byte sequences; first: []
iso8859_15: 0 non-identity two-byte sequences; first: []
tis_620: 0 non-identity two-byte sequences; first: []
