missing-renderer(system) | rc=2 | scripts/gen_toc.py --selftest | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (html5lib); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
missing-renderer(system) | rc=2 | scripts/gen_toc.py --check | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (html5lib); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
missing-renderer(system) | rc=2 | scripts/gen_toc.py --verify-anchors | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (html5lib); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
missing-renderer(system) | rc=2 | scripts/gen_toc.py --write docs/README.md | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (html5lib); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
missing-renderer(system) | rc=2 | scripts/check_em_dash.py --selftest | check_em_dash: cannot judge: the pinned Markdown renderer is not installed (html5lib); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
missing-renderer(system) | rc=2 | scripts/check_em_dash.py --base 759da623072358afdb0e9d570a7b4b6a788492c9 | check_em_dash: cannot judge: the pinned Markdown renderer is not installed (html5lib); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
missing-renderer(system) | rc=0 | scripts/check_hygiene.py --check | HYGIENE RATCHET: PASS (3 population(s), 728 file(s))
drifted-cmarkgfm | rc=2 | scripts/gen_toc.py --selftest | gen_toc: cannot read Markdown: cmarkgfm '2024.11.20' is installed where requirements.txt pins 2025.10.22
drifted-cmarkgfm | rc=2 | scripts/gen_toc.py --check | gen_toc: cannot read Markdown: cmarkgfm '2024.11.20' is installed where requirements.txt pins 2025.10.22
drifted-cmarkgfm | rc=2 | scripts/gen_toc.py --verify-anchors | gen_toc: cannot read Markdown: cmarkgfm '2024.11.20' is installed where requirements.txt pins 2025.10.22
drifted-cmarkgfm | rc=2 | scripts/gen_toc.py --write docs/README.md | gen_toc: cannot read Markdown: cmarkgfm '2024.11.20' is installed where requirements.txt pins 2025.10.22
drifted-cmarkgfm | rc=2 | scripts/check_em_dash.py --selftest | check_em_dash: cannot judge: cmarkgfm '2024.11.20' is installed where requirements.txt pins 2025.10.22
drifted-cmarkgfm | rc=2 | scripts/check_em_dash.py --base 759da623072358afdb0e9d570a7b4b6a788492c9 | check_em_dash: cannot judge: cmarkgfm '2024.11.20' is installed where requirements.txt pins 2025.10.22
drifted-cmarkgfm | rc=0 | scripts/check_hygiene.py --check | HYGIENE RATCHET: PASS (3 population(s), 728 file(s))
drifted-html5lib | rc=2 | scripts/gen_toc.py --selftest | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (collections); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
drifted-html5lib | rc=2 | scripts/gen_toc.py --check | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (collections); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
drifted-html5lib | rc=2 | scripts/gen_toc.py --verify-anchors | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (collections); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
drifted-html5lib | rc=2 | scripts/gen_toc.py --write docs/README.md | gen_toc: cannot read Markdown: the pinned Markdown renderer is not installed (collections); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
drifted-html5lib | rc=2 | scripts/check_em_dash.py --selftest | check_em_dash: cannot judge: the pinned Markdown renderer is not installed (collections); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
drifted-html5lib | rc=2 | scripts/check_em_dash.py --base 759da623072358afdb0e9d570a7b4b6a788492c9 | check_em_dash: cannot judge: the pinned Markdown renderer is not installed (collections); run: python3 -m pip install --require-hashes -r tools/markdown/requirements.txt
drifted-html5lib | rc=0 | scripts/check_hygiene.py --check | HYGIENE RATCHET: PASS (3 population(s), 728 file(s))
