yosys-portability	completed	success	2026-09-23T11:47:20Z	2026-09-23T11:47:27Z	107166326444
verilator-suites	completed	success	2026-09-23T11:47:12Z	2026-09-23T11:47:18Z	107166281394
rtl-fast	completed	success	2026-09-23T11:24:14Z	2026-09-23T11:24:17Z	107159104237
Physical gPTP (nightly and manual)	completed	skipped	2026-09-23T11:14:21Z	2026-09-23T11:14:20Z	107156036831
Verilator shard 4/5	completed	success	2026-09-23T11:16:37Z	2026-09-23T11:47:09Z	107156034201
Yosys shard 3/4	completed	success	2026-09-23T11:14:22Z	2026-09-23T11:16:06Z	107156034178
Yosys shard 0/4	completed	success	2026-09-23T11:16:28Z	2026-09-23T11:22:22Z	107156034177
Verilator shard 2/5	completed	success	2026-09-23T11:14:43Z	2026-09-23T11:21:01Z	107156034163
Verilator shard 0/5	completed	success	2026-09-23T11:16:08Z	2026-09-23T11:25:21Z	107156034156
Verilator shard 3/5	completed	success	2026-09-23T11:14:22Z	2026-09-23T11:18:41Z	107156034147
Yosys shard 2/4	completed	success	2026-09-23T11:14:23Z	2026-09-23T11:16:35Z	107156034145
Yosys shard 1/4	completed	success	2026-09-23T11:14:49Z	2026-09-23T11:18:37Z	107156034126
Verilator shard 1/5	completed	success	2026-09-23T11:14:48Z	2026-09-23T11:38:33Z	107156034121
yosys-elaboration	completed	success	2026-09-23T11:14:19Z	2026-09-23T11:24:12Z	107156015498
verilator-lint	completed	success	2026-09-23T11:14:19Z	2026-09-23T11:14:47Z	107156015421
bdd-conformance	completed	success	2026-09-23T11:14:04Z	2026-09-23T11:14:20Z	107155933836
elaborate	completed	success	2026-09-23T11:14:04Z	2026-09-23T11:23:21Z	107155933775
wire-accountability	completed	success	2026-09-23T11:14:06Z	2026-09-23T11:14:17Z	107155933560
full-ci-gate	completed	success	2026-09-23T11:14:04Z	2026-09-23T11:14:20Z	107155933505
changes	completed	success	2026-09-23T11:14:03Z	2026-09-23T11:14:17Z	107155933483
docs-check	completed	success	2026-09-23T11:14:04Z	2026-09-23T11:22:48Z	107155933470
docs-check-no-git	completed	success	2026-09-23T11:14:03Z	2026-09-23T11:14:12Z	107155932973
