fix        | resumed paragraph, tag outside the item | r86_5=`- item` + blank + `  text` (two spaces) | gh=['Real'] | bullet at column, inline tag outside | '- item\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | bullet at column, inline tag inside | '- item\n\n  text\n  <span>\n## Old\n  </span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | bullet at column, unknown tag outside | '- item\n\n  text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | bullet at column, unknown tag inside | '- item\n\n  text\n  <custom-tag>\n## Old\n  </custom-tag>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=the same at three spaces     | gh=['Real'] | bullet past column, inline tag outside | '- item\n\n   text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | bullet past column, inline tag inside | '- item\n\n   text\n   <span>\n## Old\n   </span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | bullet past column, unknown tag outside | '- item\n\n   text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | bullet past column, unknown tag inside | '- item\n\n   text\n   <custom-tag>\n## Old\n   </custom-tag>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=with `*`                     | gh=['Real'] | star at column, inline tag outside | '* item\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | star at column, inline tag inside | '* item\n\n  text\n  <span>\n## Old\n  </span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | star at column, unknown tag outside | '* item\n\n  text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | star at column, unknown tag inside | '* item\n\n  text\n  <custom-tag>\n## Old\n  </custom-tag>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | star past column, inline tag outside | '* item\n\n   text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | star past column, inline tag inside | '* item\n\n   text\n   <span>\n## Old\n   </span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | star past column, unknown tag outside | '* item\n\n   text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | star past column, unknown tag inside | '* item\n\n   text\n   <custom-tag>\n## Old\n   </custom-tag>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=with `1. item` + `   text`   | gh=['Real'] | ordered at column, inline tag outside | '1. item\n\n   text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | ordered at column, inline tag inside | '1. item\n\n   text\n   <span>\n## Old\n   </span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | ordered at column, unknown tag outside | '1. item\n\n   text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | ordered at column, unknown tag inside | '1. item\n\n   text\n   <custom-tag>\n## Old\n   </custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | ordered past column, inline tag outside | '1. item\n\n    text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | ordered past column, inline tag inside | '1. item\n\n    text\n    <span>\n## Old\n    </span>\n\n## Real\n'
agree-both | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | ordered past column, unknown tag outside | '1. item\n\n    text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | ordered past column, unknown tag inside | '1. item\n\n    text\n    <custom-tag>\n## Old\n    </custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | two-digit ordered at column, inline tag outside | '10. item\n\n    text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | two-digit ordered at column, inline tag inside | '10. item\n\n    text\n    <span>\n## Old\n    </span>\n\n## Real\n'
agree-both | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | two-digit ordered at column, unknown tag outside | '10. item\n\n    text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | two-digit ordered at column, unknown tag inside | '10. item\n\n    text\n    <custom-tag>\n## Old\n    </custom-tag>\n\n## Real\n'
