OK   raw <h2 DATA-SOURCEPOS>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <H2 DATA-SOURCEPOS>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <h2 Data-Sourcepos>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <H2 Data-Sourcepos>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <h2 dAtA-sOuRcEpOs>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <H2 dAtA-sOuRcEpOs>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <h2 data-sourcePOS>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <H2 data-sourcePOS>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <h2 DATA-sourcepos>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw <H2 DATA-sourcepos>: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw unquoted value upper: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   raw single-quoted value mixed: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   inline raw tag upper in a paragraph: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   text via decimal reference: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   text via hex reference upper X: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   text via hex reference lower: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   text via reference mid-word: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   text via backslash escape: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   text via upper text: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=1; gate: label refused=True, base refusal named=True, exempt=0
OK   text via reference, upper rest: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   MARGIN depth 201 block quotes then Old: GitHub shows Old=margin; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   depth 256 block quotes then Old: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   MARGIN depth 101 list levels then Old: GitHub shows Old=margin; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   depth 129 list levels then Old: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   MARGIN depth 201 raw divs then Old: GitHub shows Old=margin; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   depth 1500 block quotes then Old: GitHub shows Old=False; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   CONTROL depth 200 block quotes then Old: GitHub shows Old=True; walk lists Old=True; headings=5; refusals=0; gate: label refused=False, base refusal named=False, exempt=1
OK   CONTROL 199 raw divs, headings inside at depth 200: GitHub shows Old=True; walk lists Old=True; headings=5; refusals=0; gate: label refused=False, base refusal named=False, exempt=1
OK   MARGIN 200 raw divs, headings inside at depth 201 (GitHub shows; the documented depth limit withholds): GitHub shows Old=margin; walk lists Old=False; headings=0; refusals=0; gate: label refused=True, base refusal named=False, exempt=0
OK   CONTROL plain page with Old: GitHub shows Old=True; walk lists Old=True; headings=5; refusals=0; gate: label refused=False, base refusal named=False, exempt=1
OK   CONTROL raw reference in a tag's name is no forge: GitHub shows Old=True; walk lists Old=True; headings=5; refusals=0; gate: label refused=False, base refusal named=False, exempt=1
probe_forge_e2e: 31/31 as expected
