W1-drop-rtl-job-condition	DETECTED	1	911	911	  FAIL mutation not caught: [rtl-script-439 verilator-shards step 2 no-op] expected a finding naming "job `verilator-shards` step 2 (`Fetch RTL dependencies`) script is not the canonical form: line 1 must be 'git submodule update --init thi	selftest: 911 FAILURE(S)	
W2-drop-sha-step-condition	DETECTED	1	35	35	  FAIL mutation not caught: [rtl-script-439 full-ci-gate step 2 no-op] expected a finding naming "job `full-ci-gate` step 2 (`Print the event and pin the one SHA this run validates`) script is not the canonical form: line 1 must be 'set -eu	selftest: 35 FAILURE(S)	
W3-exclude-one-rtl-job	DETECTED	1	30	30	  FAIL mutation not caught: [rtl-script-439 bdd-conformance step 2 no-op] expected a finding naming "job `bdd-conformance` step 2 (`Fetch the processor model inputs`) script is not the canonical form: line 1 must be 'git submodule update --	selftest: 30 FAILURE(S)	
W4-prefix-compare	DETECTED	1	95	38	  FAIL mutation not caught: [rtl-script-439 full-ci-gate step 2 append-command] expected a finding naming 'job `full-ci-gate` step 2 (`Print the event and pin the one SHA this run validates`) script is not the canonical form: line 9 must be	selftest: 95 FAILURE(S)	
W5-order-insensitive-compare	DETECTED	1	65	25	  FAIL mutation not caught: [rtl-script-439 full-ci-gate step 2 reorder-lines] expected a finding naming "job `full-ci-gate` step 2 (`Print the event and pin the one SHA this run validates`) script is not the canonical form: line 1 must be 	selftest: 65 FAILURE(S)	
W6-ignore-comment-lines	DETECTED	1	10	6	  FAIL mutation not caught: [rtl-script-439 verilator-shards step 9 or-true-line-11] expected a finding naming 'job `verilator-shards` step 9 (`Build Yosys from source on cache miss`) script is not the canonical form: line 11 must be "# run	selftest: 10 FAILURE(S)	
W7-missing-record-derived-from-live	DETECTED	1	133	76	  FAIL rtl-script-439 full-ci-gate step 2 missing record: unexpected findings []	selftest: 133 FAILURE(S)	
W8-ignore-true-lines	NOT-DETECTED	0	0	0		selftest: PASS (1589 contract items, 2135 arms)	
W9-drop-content-compare-for-rtl-full	DETECTED	1	583	583	  FAIL mutation not caught: [rtl-script-439 full-ci-gate step 2 no-op] expected a finding naming "job `full-ci-gate` step 2 (`Print the event and pin the one SHA this run validates`) script is not the canonical form: line 1 must be 'set -eu	selftest: 583 FAILURE(S)	
W10-derive-records-from-disk-at-import	NOT-DETECTED	0	0	0		selftest: PASS (1589 contract items, 2135 arms)	candidate-without-mismatch-block --check exit=0: ci_events: OK (1589 contract item(s) across 4 workflow files and docs/testing/CI_WORKFLOWS.md)
