id	family	renderer	base_raw_h2	base_raw_direction	base_raw_refused	base_reader_h2	base_reader_direction	base_reader_refused	head_raw_h2	head_raw_direction	head_raw_refused	head_reader_h2	head_reader_direction	head_reader_refused
F-backtick-empty	fence	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
F-backtick-U0020	fence	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
F-backtick-U0009	fence	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
F-backtick-U000B	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U000C	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U000D	fence	1	1	AGREE	True	1	AGREE	False	0	WITHHOLD	True	1	AGREE	False
F-backtick-U001C	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U001D	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U001E	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U001F	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U0085	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U00A0	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U1680	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U2000	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U2001	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U2002	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U2003	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-backtick-U2004	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
