mutant	gen_toc_exit	gen_toc_I440_fail	gen_toc_other_fail	em_dash_exit	em_dash_I440_fail	em_dash_other_fail
R00-base-semantics-both-sites	1	157	1	2	10	0
R01-trailer-plus-ff	1	2	3	0	0	0
R02-trailer-plus-nbsp	1	2	3	0	0	0
R03a-trailer-plus-zwsp-inline	1	0	3	0	0	0
R03b-blank-class-body-plus-zwsp	1	0	1	0	0	0
R04-trailer-python-rstrip	1	52	1	0	0	0
R05-trailer-first-char-only	1	0	1	0	0	0
R06-trailer-space-only	1	4	0	2	1	0
R07-trailer-ignored	1	54	2	0	0	0
R08-length-exact-only	0	0	0	0	0	0
R09-length-ignored	1	0	2	2	0	1
R10-fence-char-ignored	1	0	1	0	0	0
R11-fence-ended-by-type1-closer	1	1	0	0	0	0
R12-closer-word-boundary	1	240	0	2	10	0
R13-closer-attributes	1	241	0	2	8	0
R14-closer-drop-textarea	1	16	0	2	1	0
R15-closer-add-div	0	0	0	0	0	0
R16-closer-add-title	0	0	0	0	0	0
R17-closer-end-of-line	1	1	0	0	0	0
R18-closer-lower-or-upper-only	1	1	0	0	0	0
R19-closer-ascii-case-sensitive	1	33	0	2	2	0
R20-closer-unicode-fold	1	32	1	2	6	0
R21-closer-optional-slash	1	282	6	2	14	1
R22-type6-ended-by-type1-closer	1	1	0	0	0	0
R23-closer-requires-opener-name-prefix	1	49	0	2	3	0
R24-gate-git-reader-no-newline-translation	0	0	0	2	3	0
R25-generator-reader-no-newline-translation	0	0	0	0	0	0
R26-base-side-refusal-dropped	0	0	0	2	6	6
R27-refused-drops-cr	1	0	2	0	0	0
X01-raw-html-tags-plus-title-both-sites	1	0	1	0	0	0
X02-closer-any-ascii-tag-name	1	1	0	0	0	0
X03-length-strictly-longer	1	8	8	2	3	0
X04-closer-add-xmp	0	0	0	0	0	0
