R00-base-semantics-both-sites {'gen_toc.py': (1, 157, 1), 'check_em_dash.py': (2, 10, 0)}
R01-trailer-plus-ff {'gen_toc.py': (1, 2, 3), 'check_em_dash.py': (0, 0, 0)}
R02-trailer-plus-nbsp {'gen_toc.py': (1, 2, 3), 'check_em_dash.py': (0, 0, 0)}
R03a-trailer-plus-zwsp-inline {'gen_toc.py': (1, 0, 3), 'check_em_dash.py': (0, 0, 0)}
R03b-blank-class-body-plus-zwsp {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
R04-trailer-python-rstrip {'gen_toc.py': (1, 52, 1), 'check_em_dash.py': (0, 0, 0)}
R05-trailer-first-char-only {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
R06-trailer-space-only {'gen_toc.py': (1, 4, 0), 'check_em_dash.py': (2, 1, 0)}
R07-trailer-ignored {'gen_toc.py': (1, 54, 2), 'check_em_dash.py': (0, 0, 0)}
R08-length-exact-only {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
R09-length-ignored {'gen_toc.py': (1, 0, 2), 'check_em_dash.py': (2, 0, 1)}
R10-fence-char-ignored {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
R11-fence-ended-by-type1-closer {'gen_toc.py': (1, 1, 0), 'check_em_dash.py': (0, 0, 0)}
R12-closer-word-boundary {'gen_toc.py': (1, 240, 0), 'check_em_dash.py': (2, 10, 0)}
R13-closer-attributes {'gen_toc.py': (1, 241, 0), 'check_em_dash.py': (2, 8, 0)}
R14-closer-drop-textarea {'gen_toc.py': (1, 16, 0), 'check_em_dash.py': (2, 1, 0)}
R15-closer-add-div {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
R16-closer-add-title {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
R17-closer-end-of-line {'gen_toc.py': (1, 1, 0), 'check_em_dash.py': (0, 0, 0)}
R18-closer-lower-or-upper-only {'gen_toc.py': (1, 1, 0), 'check_em_dash.py': (0, 0, 0)}
R19-closer-ascii-case-sensitive {'gen_toc.py': (1, 33, 0), 'check_em_dash.py': (2, 2, 0)}
R20-closer-unicode-fold {'gen_toc.py': (1, 32, 1), 'check_em_dash.py': (2, 6, 0)}
R21-closer-optional-slash {'gen_toc.py': (1, 282, 6), 'check_em_dash.py': (2, 14, 1)}
R22-type6-ended-by-type1-closer {'gen_toc.py': (1, 1, 0), 'check_em_dash.py': (0, 0, 0)}
R23-closer-requires-opener-name-prefix {'gen_toc.py': (1, 49, 0), 'check_em_dash.py': (2, 3, 0)}
R24-gate-git-reader-no-newline-translation {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (2, 3, 0)}
R25-generator-reader-no-newline-translation {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
R26-base-side-refusal-dropped {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (2, 6, 6)}
R27-refused-drops-cr {'gen_toc.py': (1, 0, 2), 'check_em_dash.py': (0, 0, 0)}
input tree unchanged: fc8a31d48ea8626c938cb1658fe7314d2260b107f6e4a5c6b7f8a75c53950fe2
exit=0
