R15-closer-add-div {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
R16-closer-add-title {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
X04-closer-add-xmp {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
W-div-later-line-site-only {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
W-div-opening-line-site-only {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
W-div-literal-alternation-no-RAW_HTML_TAGS {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
X01-div-raw-html-tags-plus-div-both-sites {'gen_toc.py': (1, 1, 8), 'check_em_dash.py': (0, 0, 0)}
W-title-later-line-site-only {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
W-title-opening-line-site-only {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
W-title-literal-alternation-no-RAW_HTML_TAGS {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
X01-title-raw-html-tags-plus-title-both-sites {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
W-xmp-later-line-site-only {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
W-xmp-opening-line-site-only {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
W-xmp-literal-alternation-no-RAW_HTML_TAGS {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
X01-xmp-raw-html-tags-plus-xmp-both-sites {'gen_toc.py': (1, 0, 1), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-iframe {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-noscript {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-plaintext {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-noembed {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-noframes {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-listing {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-p {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-span {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-code {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-pre2 {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
Z-closer-add-b {'gen_toc.py': (0, 0, 0), 'check_em_dash.py': (0, 0, 0)}
input scripts unchanged: fc8a31d48ea8626c938cb1658fe7314d2260b107f6e4a5c6b7f8a75c53950fe2
