mutant	gen_toc_exit	gen_toc_I440_fail	gen_toc_other_fail	em_dash_exit	em_dash_I440_fail	em_dash_other_fail
R15-closer-add-div	0	0	0	0	0	0
R16-closer-add-title	0	0	0	0	0	0
X04-closer-add-xmp	0	0	0	0	0	0
W-div-later-line-site-only	1	0	1	0	0	0
W-div-opening-line-site-only	1	0	1	0	0	0
W-div-literal-alternation-no-RAW_HTML_TAGS	0	0	0	0	0	0
X01-div-raw-html-tags-plus-div-both-sites	1	1	8	0	0	0
W-title-later-line-site-only	1	0	1	0	0	0
W-title-opening-line-site-only	1	0	1	0	0	0
W-title-literal-alternation-no-RAW_HTML_TAGS	0	0	0	0	0	0
X01-title-raw-html-tags-plus-title-both-sites	1	0	1	0	0	0
W-xmp-later-line-site-only	1	0	1	0	0	0
W-xmp-opening-line-site-only	1	0	1	0	0	0
W-xmp-literal-alternation-no-RAW_HTML_TAGS	0	0	0	0	0	0
X01-xmp-raw-html-tags-plus-xmp-both-sites	1	0	1	0	0	0
Z-closer-add-iframe	0	0	0	0	0	0
Z-closer-add-noscript	0	0	0	0	0	0
Z-closer-add-plaintext	0	0	0	0	0	0
Z-closer-add-noembed	0	0	0	0	0	0
Z-closer-add-noframes	0	0	0	0	0	0
Z-closer-add-listing	0	0	0	0	0	0
Z-closer-add-p	0	0	0	0	0	0
Z-closer-add-span	0	0	0	0	0	0
Z-closer-add-code	0	0	0	0	0	0
Z-closer-add-pre2	0	0	0	0	0	0
Z-closer-add-b	0	0	0	0	0	0
