id	family	gfm	markdown	base_raw_h2	base_raw_refused	base_raw_dir	base_reader_h2	base_reader_refused	base_reader_dir	base_shipped	base_gate_reader_same	head_raw_h2	head_raw_refused	head_raw_dir	head_reader_h2	head_reader_refused	head_reader_dir	head_shipped	head_gate_reader_same
R226-F-bt-empty	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-sp	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-tab	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-sp2	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-sp-tab-sp	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-tab2	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-U000B	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U000C	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U000D	fence-trailer	1	1	1	True	AGREE	1	False	AGREE	AGREE	True	0	True	WITHHOLD	1	False	AGREE	AGREE	True
R226-F-bt-U001C	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U001D	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U001E	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U001F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U0085	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U00A0	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U1680	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2000	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2001	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2002	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2003	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2004	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2005	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2006	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2007	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2008	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2009	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U200A	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2028	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U2029	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U202F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U205F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U3000	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-U0000	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-U200B	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-UFEFF	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-U180E	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-U2060	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-sp-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-tab-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-other	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-sp-other	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-sp-ff	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-tab-nbsp	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-longer-empty	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-longer-sp	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-longer-tab	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-longer-ff	fence-length	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-bt-longer-x	fence-length	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-shorter	fence-length	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-much-longer	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-indent-1sp	fence-indent	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-indent-3sp	fence-indent	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-indent-4sp	fence-indent	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-indent-tab	fence-indent	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-indent-sp-tab	fence-indent	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-other-char	fence-kind	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-eof-heading-nolf	fence-eof	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-eof-trailer-nolf	fence-eof	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-bt-eof-unclosed	fence-eof	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-eof-unclosed-nolf	fence-eof	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-bt-eof-closer-after	fence-eof	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-empty	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-sp	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-tab	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-sp2	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-sp-tab-sp	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-tab2	fence-trailer	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-U000B	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U000C	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U000D	fence-trailer	1	1	1	True	AGREE	1	False	AGREE	AGREE	True	0	True	WITHHOLD	1	False	AGREE	AGREE	True
R226-F-tl-U001C	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U001D	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U001E	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U001F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U0085	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U00A0	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U1680	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2000	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2001	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2002	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2003	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2004	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2005	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2006	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2007	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2008	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2009	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U200A	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2028	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2029	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U202F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U205F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U3000	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U0000	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-U200B	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-UFEFF	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-U180E	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-U2060	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-sp-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-tab-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-other	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-sp-other	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-sp-ff	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
