bdd-conformance	completed	success	c9bbb03cc3d4
changes	completed	success	c9bbb03cc3d4
docs-check	completed	success	c9bbb03cc3d4
docs-check-no-git	completed	success	c9bbb03cc3d4
elaborate	completed	success	c9bbb03cc3d4
full-ci-gate	completed	success	c9bbb03cc3d4
Physical gPTP (nightly and manual)	completed	skipped	c9bbb03cc3d4
rtl-fast	completed	success	c9bbb03cc3d4
verilator-lint	completed	success	c9bbb03cc3d4
Verilator shard 0/5	completed	success	c9bbb03cc3d4
Verilator shard 1/5	in_progress	null	c9bbb03cc3d4
Verilator shard 2/5	completed	success	c9bbb03cc3d4
Verilator shard 3/5	completed	success	c9bbb03cc3d4
Verilator shard 4/5	in_progress	null	c9bbb03cc3d4
wire-accountability	completed	success	c9bbb03cc3d4
yosys-elaboration	completed	success	c9bbb03cc3d4
Yosys shard 0/4	completed	success	c9bbb03cc3d4
Yosys shard 1/4	completed	success	c9bbb03cc3d4
Yosys shard 2/4	completed	success	c9bbb03cc3d4
Yosys shard 3/4	completed	success	c9bbb03cc3d4
