[gen_aem_store] 32 descriptors, ROM 3563 B -> $WORKSPACE_HOME/milan-fpga-management/2026-09-22/464-r1-r236/scratch/output-base
  type 0x0000 idx 0: base    0 len 312
  type 0x0001 idx 0: base  312 len 106
  type 0x0002 idx 0: base  418 len 156
  type 0x0005 idx 0: base  574 len 154
  type 0x0005 idx 1: base  728 len 146
  type 0x0006 idx 0: base  874 len 146
  type 0x0009 idx 0: base 1020 len 102
  type 0x000A idx 0: base 1122 len 86
  type 0x000A idx 1: base 1208 len 86
  type 0x0024 idx 0: base 1294 len 80
  type 0x001A idx 0: base 1374 len 113
  type 0x000C idx 0: base 1487 len 72
  type 0x000D idx 0: base 1559 len 452
  type 0x000E idx 0: base 2011 len 20
  type 0x000F idx 0: base 2031 len 20
  type 0x0014 idx 0: base 2051 len 90
  type 0x0014 idx 1: base 2141 len 90
  type 0x0014 idx 2: base 2231 len 90
  type 0x0014 idx 3: base 2321 len 90
  type 0x0014 idx 4: base 2411 len 90
  type 0x0014 idx 5: base 2501 len 90
  type 0x0014 idx 6: base 2591 len 90
  type 0x0014 idx 7: base 2681 len 90
  type 0x0014 idx 8: base 2771 len 90
  type 0x0014 idx 9: base 2861 len 90
  type 0x0014 idx 10: base 2951 len 90
  type 0x0014 idx 11: base 3041 len 90
  type 0x0014 idx 12: base 3131 len 90
  type 0x0014 idx 13: base 3221 len 90
  type 0x0014 idx 14: base 3311 len 90
  type 0x0014 idx 15: base 3401 len 90
  type 0x0017 idx 0: base 3491 len 72
