date_utc: 2026-09-22T14:51:55Z
1496558d82cf35fc98dda0e781b2a1be643c301a	refs/heads/478-audio-unit-rate-bound
52711029f374650dc93830d5ea28e81cb5c8f410	refs/heads/dev
72e16c6172db723734317b105cff6c6e9168571a	refs/heads/validation/478-candidate2
1496558d82cf35fc98dda0e781b2a1be643c301a	refs/pull/512/head
--- end-of-round recheck
date_utc: 2026-09-22T15:15:24Z
1496558d82cf35fc98dda0e781b2a1be643c301a	refs/heads/478-audio-unit-rate-bound
52711029f374650dc93830d5ea28e81cb5c8f410	refs/heads/dev
72e16c6172db723734317b105cff6c6e9168571a	refs/heads/validation/478-candidate2
1496558d82cf35fc98dda0e781b2a1be643c301a	refs/pull/512/head
