# GENERATED by scripts/check_nvm_record_space.py --emit-record-table
# DO NOT EDIT: the gate rebuilds this file and reports a mismatch.
shape endstation_ax7101_1x1_tdm8
layout 2
hdrbytes 40
imglen 3264
crc32 0xA51E1CA4
nrec 53
# rec <id> <area_offset> <framed_len> <payload_len> <group> <index>
rec 0x00 0 10 2 CFG_IDX 0
rec 0x01 10 16 8 SUID 0
rec 0x02 26 12 4 RATE 0
rec 0x0A 38 10 2 CLKSRC 0
rec 0x12 48 74 66 MCR 0
rec 0x20 122 28 20 BINDING 0
rec 0x21 150 28 20 BINDING 1
rec 0x30 178 16 8 FMT_IN 0
rec 0x31 194 16 8 FMT_IN 1
rec 0x40 210 16 8 FMT_OUT 0
rec 0x41 226 16 8 FMT_OUT 1
rec 0x50 242 12 4 PT_OFS 0
rec 0x51 254 12 4 PT_OFS 1
rec 0x60 266 72 64 MAPS_IN 0
rec 0x70 338 144 136 MAPS_OUT 0
rec 0x80 482 72 64 NAME 0
rec 0x81 554 72 64 NAME 1
rec 0x82 626 72 64 NAME 2
rec 0x83 698 72 64 NAME 3
rec 0x84 770 72 64 NAME 4
rec 0x85 842 72 64 NAME 5
rec 0x86 914 72 64 NAME 6
rec 0x87 986 72 64 NAME 7
rec 0x88 1058 72 64 NAME 8
rec 0x89 1130 72 64 NAME 9
rec 0x8A 1202 72 64 NAME 10
rec 0x8B 1274 72 64 NAME 11
rec 0x8C 1346 72 64 NAME 12
rec 0x8D 1418 72 64 NAME 13
rec 0x8E 1490 72 64 NAME 14
rec 0x8F 1562 72 64 NAME 15
rec 0x90 1634 72 64 NAME 16
rec 0x91 1706 72 64 NAME 17
rec 0x92 1778 72 64 NAME 18
rec 0x93 1850 72 64 NAME 19
rec 0x94 1922 72 64 NAME 20
rec 0x95 1994 72 64 NAME 21
rec 0x96 2066 72 64 NAME 22
rec 0x97 2138 72 64 NAME 23
rec 0x98 2210 72 64 NAME 24
rec 0x99 2282 72 64 NAME 25
rec 0x9A 2354 72 64 NAME 26
rec 0x9B 2426 72 64 NAME 27
rec 0x9C 2498 72 64 NAME 28
rec 0x9D 2570 72 64 NAME 29
rec 0x9E 2642 72 64 NAME 30
rec 0x9F 2714 72 64 NAME 31
rec 0xA0 2786 72 64 NAME 32
rec 0xA1 2858 72 64 NAME 33
rec 0xA2 2930 72 64 NAME 34
rec 0xA3 3002 72 64 NAME 35
rec 0xA4 3074 72 64 NAME 36
rec 0xA5 3146 72 64 NAME 37
