# GENERATED by scripts/check_nvm_record_space.py --emit-record-table
# DO NOT EDIT: the gate rebuilds this file and reports a mismatch.
shape endstation_ax7101_8x8
layout 2
hdrbytes 40
imglen 12680
crc32 0xAE9C8000
nrec 156
# rec <id> <area_offset> <framed_len> <payload_len> <group> <index>
rec 0x00 0 10 2 CFG_IDX 0
rec 0x01 10 16 8 SUID 0
rec 0x02 26 12 4 RATE 0
rec 0x0A 38 10 2 CLKSRC 0
rec 0x12 48 74 66 MCR 0
rec 0x20 122 28 20 BINDING 0
rec 0x21 150 28 20 BINDING 1
rec 0x22 178 28 20 BINDING 2
rec 0x23 206 28 20 BINDING 3
rec 0x24 234 28 20 BINDING 4
rec 0x25 262 28 20 BINDING 5
rec 0x26 290 28 20 BINDING 6
rec 0x27 318 28 20 BINDING 7
rec 0x28 346 28 20 BINDING 8
rec 0x30 374 16 8 FMT_IN 0
rec 0x31 390 16 8 FMT_IN 1
rec 0x32 406 16 8 FMT_IN 2
rec 0x33 422 16 8 FMT_IN 3
rec 0x34 438 16 8 FMT_IN 4
rec 0x35 454 16 8 FMT_IN 5
rec 0x36 470 16 8 FMT_IN 6
rec 0x37 486 16 8 FMT_IN 7
rec 0x38 502 16 8 FMT_IN 8
rec 0x40 518 16 8 FMT_OUT 0
rec 0x41 534 16 8 FMT_OUT 1
rec 0x42 550 16 8 FMT_OUT 2
rec 0x43 566 16 8 FMT_OUT 3
rec 0x44 582 16 8 FMT_OUT 4
rec 0x45 598 16 8 FMT_OUT 5
rec 0x46 614 16 8 FMT_OUT 6
rec 0x47 630 16 8 FMT_OUT 7
rec 0x48 646 16 8 FMT_OUT 8
rec 0x50 662 12 4 PT_OFS 0
rec 0x51 674 12 4 PT_OFS 1
rec 0x52 686 12 4 PT_OFS 2
rec 0x53 698 12 4 PT_OFS 3
rec 0x54 710 12 4 PT_OFS 4
rec 0x55 722 12 4 PT_OFS 5
rec 0x56 734 12 4 PT_OFS 6
rec 0x57 746 12 4 PT_OFS 7
rec 0x58 758 12 4 PT_OFS 8
rec 0x60 770 8 0 MAPS_IN 0
rec 0x61 778 8 0 MAPS_IN 1
rec 0x62 786 8 0 MAPS_IN 2
rec 0x63 794 8 0 MAPS_IN 3
rec 0x64 802 8 0 MAPS_IN 4
rec 0x65 810 8 0 MAPS_IN 5
rec 0x66 818 8 0 MAPS_IN 6
rec 0x67 826 8 0 MAPS_IN 7
rec 0x70 834 584 576 MAPS_OUT 0
rec 0x71 1418 584 576 MAPS_OUT 1
rec 0x72 2002 584 576 MAPS_OUT 2
rec 0x73 2586 584 576 MAPS_OUT 3
rec 0x74 3170 584 576 MAPS_OUT 4
rec 0x75 3754 584 576 MAPS_OUT 5
rec 0x76 4338 584 576 MAPS_OUT 6
rec 0x77 4922 584 576 MAPS_OUT 7
rec 0x80 5506 72 64 NAME 0
rec 0x81 5578 72 64 NAME 1
rec 0x82 5650 72 64 NAME 2
rec 0x83 5722 72 64 NAME 3
rec 0x84 5794 72 64 NAME 4
rec 0x85 5866 72 64 NAME 5
rec 0x86 5938 72 64 NAME 6
rec 0x87 6010 72 64 NAME 7
rec 0x88 6082 72 64 NAME 8
rec 0x89 6154 72 64 NAME 9
rec 0x8A 6226 72 64 NAME 10
rec 0x8B 6298 72 64 NAME 11
rec 0x8C 6370 72 64 NAME 12
rec 0x8D 6442 72 64 NAME 13
rec 0x8E 6514 72 64 NAME 14
rec 0x8F 6586 72 64 NAME 15
rec 0x90 6658 72 64 NAME 16
rec 0x91 6730 72 64 NAME 17
rec 0x92 6802 72 64 NAME 18
rec 0x93 6874 72 64 NAME 19
rec 0x94 6946 72 64 NAME 20
rec 0x95 7018 72 64 NAME 21
rec 0x96 7090 72 64 NAME 22
rec 0x97 7162 72 64 NAME 23
rec 0x98 7234 72 64 NAME 24
rec 0x99 7306 72 64 NAME 25
rec 0x9A 7378 72 64 NAME 26
rec 0x9B 7450 72 64 NAME 27
rec 0x9C 7522 72 64 NAME 28
rec 0x9D 7594 72 64 NAME 29
rec 0x9E 7666 72 64 NAME 30
rec 0x9F 7738 72 64 NAME 31
rec 0xA0 7810 72 64 NAME 32
rec 0xA1 7882 72 64 NAME 33
rec 0xA2 7954 72 64 NAME 34
rec 0xA3 8026 72 64 NAME 35
rec 0xA4 8098 72 64 NAME 36
rec 0xA5 8170 72 64 NAME 37
rec 0xA6 8242 72 64 NAME 38
rec 0xA7 8314 72 64 NAME 39
rec 0xA8 8386 72 64 NAME 40
rec 0xA9 8458 72 64 NAME 41
rec 0xAA 8530 72 64 NAME 42
rec 0xAB 8602 72 64 NAME 43
rec 0xAC 8674 72 64 NAME 44
rec 0xAD 8746 72 64 NAME 45
rec 0xAE 8818 72 64 NAME 46
rec 0xAF 8890 72 64 NAME 47
rec 0xB0 8962 72 64 NAME 48
rec 0xB1 9034 72 64 NAME 49
rec 0xB2 9106 72 64 NAME 50
rec 0xB3 9178 72 64 NAME 51
rec 0xB4 9250 72 64 NAME 52
rec 0xB5 9322 72 64 NAME 53
rec 0xB6 9394 72 64 NAME 54
rec 0xB7 9466 72 64 NAME 55
rec 0xB8 9538 72 64 NAME 56
rec 0xB9 9610 72 64 NAME 57
