PASS        control-unmutated                        rc=0 fails=0 expected=- got=[]
KILLED      empty-delta-certified                    rc=1 fails=3 expected=linear-empty-delta got=['retention-command-diff-3', 'linear-empty-delta', 'linear-empty-delta-diagnostic']
KILLED      H-error-as-unsupported                   rc=1 fails=0 expected=linear-H-failure-diagnostic (collides with a self-test guard string; see non-colliding variant) got=[]
KILLED      H-error-as-unsupported-noncolliding      rc=1 fails=1 expected=linear-H-failure-diagnostic got=['linear-H-failure-diagnostic']
KILLED      H-error-silently-matched-empty-missing   rc=1 fails=2 expected=linear-H-measurement-failure got=['linear-H-measurement-failure', 'linear-H-failure-diagnostic']
KILLED      unknown-ref-prints-retained              rc=1 fails=2 expected=linear-no-retained-on-UNKNOWN got=['linear-no-retained-on-UNKNOWN', 'linear-no-retention-on-UNKNOWN']
SURVIVED    pre-error-prints-retained                rc=0 fails=0 expected=(reachable only through a --merged-prs pre-error) got=[]
KILLED      retention-also-evaluated-when-stranded   rc=1 fails=1 expected=linear-no-retention-on-STRANDED got=['linear-no-retention-on-STRANDED']
KILLED      stranded-prints-unknown-retention        rc=1 fails=1 expected=linear-no-retention-on-STRANDED got=['linear-no-retention-on-STRANDED']
KILLED      ancestry-disclaimer-dropped              rc=1 fails=2 expected=linear-ancestry-*-claim got=['linear-ancestry-optional-claim', 'linear-ancestry-default-claim']
KILLED      ancestry-historical-dropped              rc=1 fails=2 expected=linear-ancestry-*-claim got=['linear-ancestry-optional-claim', 'linear-ancestry-default-claim']
KILLED      retained-claim-replay-dropped            rc=1 fails=6 expected=linear-*-retained-claim got=['linear-exact-retention-retained-claim', 'linear-legitimate-extension-retained-claim', 'linear-later-mode-change-retained-claim', 'linear-symlink-identity-retained-claim']
KILLED      retained-claim-target-dropped            rc=1 fails=6 expected=linear-*-retained-claim got=['linear-exact-retention-retained-claim', 'linear-legitimate-extension-retained-claim', 'linear-later-mode-change-retained-claim', 'linear-symlink-identity-retained-claim']
KILLED      retained-line-printed-twice              rc=1 fails=42 expected=linear-*-retained-claim (exactly one line) got=['linear-exact-retention', 'linear-exact-retention-retained-claim', 'linear-exact-reversion', 'linear-mutant-exact-reversion']
CONTROL PASS | ALL APPLIED True
