15
rtl-fast | completed | success | 2026-09-25T19:50:37Z | 2026-09-25T19:50:40Z
yosys-portability | completed | skipped | 2026-09-25T19:40:35Z | 2026-09-25T19:40:34Z
verilator-suites | completed | skipped | 2026-09-25T19:40:35Z | 2026-09-25T19:40:34Z
Verilator shard ${{ matrix.shard }}/${{ matrix.total }} | completed | skipped | 2026-09-25T19:40:34Z | 2026-09-25T19:40:34Z
Yosys shard ${{ matrix.shard }}/${{ matrix.total }} | completed | skipped | 2026-09-25T19:40:34Z | 2026-09-25T19:40:34Z
Physical gPTP (nightly and manual) | completed | skipped | 2026-09-25T19:40:34Z | 2026-09-25T19:40:34Z
yosys-elaboration | completed | success | 2026-09-25T19:40:26Z | 2026-09-25T19:50:35Z
verilator-lint | completed | success | 2026-09-25T19:40:27Z | 2026-09-25T19:41:02Z
full-ci-gate | completed | success | 2026-09-25T19:40:06Z | 2026-09-25T19:40:33Z
changes | completed | success | 2026-09-25T19:40:06Z | 2026-09-25T19:40:24Z
bdd-conformance | completed | success | 2026-09-25T19:40:06Z | 2026-09-25T19:40:16Z
elaborate | completed | success | 2026-09-25T19:40:41Z | 2026-09-25T19:56:28Z
docs-check-no-git | completed | success | 2026-09-25T19:40:05Z | 2026-09-25T19:40:16Z
wire-accountability | completed | success | 2026-09-25T19:40:05Z | 2026-09-25T19:40:13Z
docs-check | completed | success | 2026-09-25T19:40:06Z | 2026-09-25T19:59:53Z
