bdd-conformance | completed | success | 2026-09-26T09:10:38Z | 2026-09-26T09:10:48Z
changes | completed | success | 2026-09-26T09:10:38Z | 2026-09-26T09:10:57Z
docs-check | completed | success | 2026-09-26T09:10:40Z | 2026-09-26T09:30:53Z
docs-check-no-git | completed | success | 2026-09-26T09:10:38Z | 2026-09-26T09:10:46Z
elaborate | completed | success | 2026-09-26T09:10:39Z | 2026-09-26T09:20:16Z
full-ci-gate | completed | success | 2026-09-26T09:10:38Z | 2026-09-26T09:10:58Z
Physical gPTP (nightly and manual) | completed | skipped | 2026-09-26T09:10:59Z | 2026-09-26T09:10:58Z
rtl-fast | completed | success | 2026-09-26T09:19:52Z | 2026-09-26T09:19:55Z
verilator-lint | completed | success | 2026-09-26T09:10:59Z | 2026-09-26T09:11:28Z
Verilator shard ${{ matrix.shard }}/${{ matrix.total }} | completed | skipped | 2026-09-26T09:10:59Z | 2026-09-26T09:10:58Z
verilator-suites | completed | skipped | 2026-09-26T09:10:59Z | 2026-09-26T09:10:59Z
wire-accountability | completed | success | 2026-09-26T09:10:38Z | 2026-09-26T09:10:46Z
yosys-elaboration | completed | success | 2026-09-26T09:10:59Z | 2026-09-26T09:19:50Z
yosys-portability | completed | skipped | 2026-09-26T09:10:59Z | 2026-09-26T09:10:59Z
Yosys shard ${{ matrix.shard }}/${{ matrix.total }} | completed | skipped | 2026-09-26T09:10:59Z | 2026-09-26T09:10:58Z
