Fri Sep 25 09:00:46 PM UTC 2026
{"baseRefName":"dev","headRefOid":"f36b40ddb5bf7fa5b12bba47d136e0b9d429403c","isDraft":true,"mergeable":"MERGEABLE","state":"OPEN"}
rtl-fast | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069742/job/108226756323
yosys-portability | completed | skipped | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069801/job/108223467615
verilator-suites | completed | skipped | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069801/job/108223465981
Verilator shard ${{ matrix.shard }}/${{ matrix.total }} | completed | skipped | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069801/job/108223464323
Yosys shard ${{ matrix.shard }}/${{ matrix.total }} | completed | skipped | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069801/job/108223464213
Physical gPTP (nightly and manual) | completed | skipped | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069801/job/108223463933
yosys-elaboration | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069742/job/108223406780
verilator-lint | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069742/job/108223406676
full-ci-gate | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069801/job/108223286686
changes | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069742/job/108223286344
bdd-conformance | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069742/job/108223286030
elaborate | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069741/job/108223285839
docs-check-no-git | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069754/job/108223285822
wire-accountability | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069754/job/108223285747
docs-check | completed | success | https://github.com/kebag-logic/milan-fpga/actions/runs/36181069754/job/108223285500
