run 00 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 01 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 02 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 03 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 04 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 05 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 06 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 07 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 08 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 09 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 10 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 11 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 12 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 13 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 14 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 15 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 16 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 17 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 18 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 19 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 20 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 21 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 22 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 23 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 24 SIGINT=default rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
test_sim_pool_backpressure.py SIGINT=default: 0/25 runs failed
