run 00 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 01 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 02 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 03 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 04 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 05 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 06 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 07 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 08 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 09 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 10 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 11 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 12 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 13 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 14 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 15 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 16 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 17 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 18 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 19 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 20 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 21 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 22 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 23 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
run 24 SIGINT=ignored rc=0 :: 28 backpressure controls: 28 PASS, 0 FAIL 
test_sim_pool_backpressure.py SIGINT=ignored: 0/25 runs failed
