shard: 0/1   selected suites: 55
PASS     aaf
PASS     aaf_audio_loop
PASS     aaf_latency_tap_bank
PASS     aaf_latency_taps
PASS     adp_tx
PASS     aes3
PASS     avtp_parser
PASS     avtp_rxmon
PASS     avtp_stream
PASS     cbs
PASS     cdc
PASS     chmap_capture
PASS     chmap_render
PASS     classifier
PASS     clkvalid
PASS     cls
PASS     controller_rate
PASS     crf_rx
PASS     crf_tx
PASS     csr
PASS     datapath
PASS     eth_tx_reset
Terminated                 timeout "$TMO" make -C "$d" > "$OUT/$suite.log" 2>&1
FAIL     gptp_plane
