# Excerpt: hosted run 35834333709 (rtl-full, pull_request), job 107094102974 'Verilator shard 1/5', head 26353960ae2763cc09741d0f7bcc720621bd5148
# command: gh run view 35834333709 --repo kebag-logic/milan-fpga --job 107094102974 --log | grep (escape sequences stripped)
2026-09-23T07:57:53.0635829Z shard: 1/5   selected suites: 21
2026-09-23T07:57:58.3657727Z PASS     aaf_latency_taps
2026-09-23T07:58:09.3310763Z PASS     avtp_rxmon
2026-09-23T07:58:14.5884855Z PASS     cbs
2026-09-23T07:58:19.7093383Z PASS     cdc
2026-09-23T07:58:35.1067319Z PASS     clkvalid
2026-09-23T07:58:42.6279298Z PASS     controller_rate
2026-09-23T07:58:48.1871685Z PASS     crf_rx
2026-09-23T07:58:53.4723470Z PASS     datapath
2026-09-23T07:59:01.4047960Z PASS     gptp_plane
2026-09-23T08:04:39.1191991Z PASS     gptp_shadow
2026-09-23T08:04:44.3153431Z PASS     lat_history_ring
2026-09-23T08:04:49.5682688Z PASS     maap
2026-09-23T08:04:59.8880542Z PASS     mac_rmon
2026-09-23T08:05:16.2026774Z PASS     media_nco
2026-09-23T08:05:21.6349117Z PASS     mmcm_servo_autorepair
2026-09-23T08:16:39.5724022Z PASS     nvm_cosim
2026-09-23T08:16:45.0386391Z PASS     pair_fill
2026-09-23T08:16:50.5207153Z PASS     pcmlpf
2026-09-23T08:17:31.2241158Z PASS     pp_shadow
2026-09-23T08:17:36.8602588Z PASS     tcam_csr
2026-09-23T08:18:28.6239047Z PASS     tsn_fuzz
2026-09-23T08:18:28.6240178Z suites: 21   passed: 21   failed: 0   timed out: 0
2026-09-23T08:18:28.7328780Z checks: 171619   in-suite failures: 0
