bdd-conformance	completed	success	2026-09-23T11:39:01Z	2026-09-23T11:39:17Z	015edd9a
changes	completed	success	2026-09-23T11:39:01Z	2026-09-23T11:39:19Z	015edd9a
docs-check	completed	success	2026-09-23T11:39:01Z	2026-09-23T11:44:40Z	015edd9a
docs-check-no-git	completed	success	2026-09-23T11:39:01Z	2026-09-23T11:39:10Z	015edd9a
elaborate	completed	success	2026-09-23T11:39:04Z	2026-09-23T11:48:15Z	015edd9a
full-ci-gate	completed	success	2026-09-23T11:39:01Z	2026-09-23T11:39:17Z	015edd9a
Physical gPTP (nightly and manual)	completed	skipped	2026-09-23T11:39:18Z	2026-09-23T11:39:17Z	015edd9a
rtl-fast	completed	success	2026-09-23T11:50:11Z	2026-09-23T11:50:13Z	015edd9a
total 22
verilator-lint	completed	success	2026-09-23T11:39:52Z	2026-09-23T11:40:23Z	015edd9a
Verilator shard 0/5	completed	success	2026-09-23T11:39:19Z	2026-09-23T11:51:17Z	015edd9a
Verilator shard 1/5	completed	success	2026-09-23T11:39:21Z	2026-09-23T11:54:01Z	015edd9a
Verilator shard 2/5	completed	success	2026-09-23T11:39:20Z	2026-09-23T11:46:20Z	015edd9a
Verilator shard 3/5	completed	success	2026-09-23T11:39:20Z	2026-09-23T11:46:31Z	015edd9a
Verilator shard 4/5	completed	success	2026-09-23T11:39:19Z	2026-09-23T12:10:09Z	015edd9a
verilator-suites	completed	success	2026-09-23T12:10:12Z	2026-09-23T12:10:22Z	015edd9a
wire-accountability	completed	success	2026-09-23T11:39:01Z	2026-09-23T11:39:07Z	015edd9a
yosys-elaboration	completed	success	2026-09-23T11:40:24Z	2026-09-23T11:50:08Z	015edd9a
yosys-portability	completed	success	2026-09-23T12:10:25Z	2026-09-23T12:10:33Z	015edd9a
Yosys shard 0/4	completed	success	2026-09-23T11:39:21Z	2026-09-23T11:45:59Z	015edd9a
Yosys shard 1/4	completed	success	2026-09-23T11:39:20Z	2026-09-23T11:43:05Z	015edd9a
Yosys shard 2/4	completed	success	2026-09-23T11:39:19Z	2026-09-23T11:41:29Z	015edd9a
Yosys shard 3/4	completed	success	2026-09-23T11:39:19Z	2026-09-23T11:40:56Z	015edd9a
