nxn8_pw_lock_intr nxn8 run-exit=1 checks: 3133   failures: 5 crf-red=5
nxn8_pw_lock_unlock nxn8 run-exit=1 checks: 3133   failures: 4 crf-red=4
nxn8_pw_mr_early nxn8 run-exit=1 checks: 3133   failures: 2 crf-red=2
nxn8_pw_mr_intr nxn8 run-exit=1 checks: 3133   failures: 3 crf-red=3
nxn8_pw_mr_late nxn8 run-exit=1 checks: 3133   failures: 2 crf-red=2
nxn8_pw_mr_lock nxn8 run-exit=1 checks: 3133   failures: 4 crf-red=4
nxn8_pw_mr_tu nxn8 run-exit=1 checks: 3133   failures: 2 crf-red=2
nxn8_pw_mr_unlock nxn8 run-exit=1 checks: 3133   failures: 4 crf-red=4
nxn8_pw_pdu_early nxn8 run-exit=1 checks: 3133   failures: 2 crf-red=2
nxn8_pw_pdu_fmt nxn8 run-exit=1 checks: 3133   failures: 7 crf-red=4
nxn8_pw_pdu_intr nxn8 run-exit=1 checks: 3133   failures: 8 crf-red=6
nxn8_pw_pdu_late nxn8 run-exit=1 checks: 3133   failures: 6 crf-red=4
nxn8_pw_pdu_lock nxn8 run-exit=1 checks: 3133   failures: 8 crf-red=6
nxn8_pw_pdu_mr nxn8 run-exit=1 checks: 3133   failures: 6 crf-red=4
nxn8_pw_pdu_seq nxn8 run-exit=1 checks: 3133   failures: 8 crf-red=5
