nxn8_pw_pdu_tu nxn8 run-exit=1 checks: 3133   failures: 6 crf-red=4
nxn8_pw_pdu_unlock nxn8 run-exit=1 checks: 3133   failures: 8 crf-red=6
nxn8_pw_seq_early nxn8 run-exit=1 checks: 3133   failures: 4 crf-red=3
nxn8_pw_seq_intr nxn8 run-exit=1 checks: 3133   failures: 2 crf-red=2
nxn8_pw_seq_late nxn8 run-exit=1 checks: 3133   failures: 3 crf-red=3
nxn8_pw_seq_lock nxn8 run-exit=1 checks: 3133   failures: 5 crf-red=5
nxn8_pw_seq_mr nxn8 run-exit=1 checks: 3133   failures: 3 crf-red=3
nxn8_pw_seq_tu nxn8 run-exit=1 checks: 3133   failures: 3 crf-red=3
nxn8_pw_seq_unlock nxn8 run-exit=1 checks: 3133   failures: 5 crf-red=5
nxn8_pw_tu_early nxn8 run-exit=1 checks: 3133   failures: 2 crf-red=2
nxn8_pw_tu_intr nxn8 run-exit=1 checks: 3133   failures: 3 crf-red=3
nxn8_pw_tu_late nxn8 run-exit=1 checks: 3133   failures: 2 crf-red=2
nxn8_pw_tu_lock nxn8 run-exit=1 checks: 3133   failures: 4 crf-red=4
nxn8_pw_tu_unlock nxn8 run-exit=1 checks: 3133   failures: 3 crf-red=3
nxn8_pw_unlock_intr nxn8 run-exit=1 checks: 3133   failures: 5 crf-red=5
