nxn_pw_lock_intr nxn run-exit=1 checks: 1705   failures: 5 crf-red=5
nxn_pw_lock_unlock nxn run-exit=1 checks: 1705   failures: 4 crf-red=4
nxn_pw_mr_early nxn run-exit=1 checks: 1705   failures: 2 crf-red=2
nxn_pw_mr_intr nxn run-exit=1 checks: 1705   failures: 3 crf-red=3
nxn_pw_mr_late nxn run-exit=1 checks: 1705   failures: 2 crf-red=2
nxn_pw_mr_lock nxn run-exit=1 checks: 1705   failures: 4 crf-red=4
nxn_pw_mr_tu nxn run-exit=1 checks: 1705   failures: 2 crf-red=2
nxn_pw_mr_unlock nxn run-exit=1 checks: 1705   failures: 4 crf-red=4
nxn_pw_pdu_early nxn run-exit=1 checks: 1705   failures: 2 crf-red=2
nxn_pw_pdu_fmt nxn run-exit=1 checks: 1705   failures: 7 crf-red=4
nxn_pw_pdu_intr nxn run-exit=1 checks: 1705   failures: 8 crf-red=6
nxn_pw_pdu_late nxn run-exit=1 checks: 1705   failures: 6 crf-red=4
nxn_pw_pdu_lock nxn run-exit=1 checks: 1705   failures: 8 crf-red=6
nxn_pw_pdu_mr nxn run-exit=1 checks: 1705   failures: 6 crf-red=4
nxn_pw_pdu_seq nxn run-exit=1 checks: 1705   failures: 8 crf-red=5
