nxn_pw_pdu_tu nxn run-exit=1 checks: 1705   failures: 6 crf-red=4
nxn_pw_pdu_unlock nxn run-exit=1 checks: 1705   failures: 8 crf-red=6
nxn_pw_seq_early nxn run-exit=1 checks: 1705   failures: 4 crf-red=3
nxn_pw_seq_intr nxn run-exit=1 checks: 1705   failures: 2 crf-red=2
nxn_pw_seq_late nxn run-exit=1 checks: 1705   failures: 3 crf-red=3
nxn_pw_seq_lock nxn run-exit=1 checks: 1705   failures: 5 crf-red=5
nxn_pw_seq_mr nxn run-exit=1 checks: 1705   failures: 3 crf-red=3
nxn_pw_seq_tu nxn run-exit=1 checks: 1705   failures: 3 crf-red=3
nxn_pw_seq_unlock nxn run-exit=1 checks: 1705   failures: 5 crf-red=5
nxn_pw_tu_early nxn run-exit=1 checks: 1705   failures: 2 crf-red=2
nxn_pw_tu_intr nxn run-exit=1 checks: 1705   failures: 3 crf-red=3
nxn_pw_tu_late nxn run-exit=1 checks: 1705   failures: 2 crf-red=2
nxn_pw_tu_lock nxn run-exit=1 checks: 1705   failures: 4 crf-red=4
nxn_pw_tu_unlock nxn run-exit=1 checks: 1705   failures: 3 crf-red=3
nxn_pw_unlock_intr nxn run-exit=1 checks: 1705   failures: 5 crf-red=5
