base_nxn_pw_early_intr nxn run-exit=1 checks: 1687   failures: 2 crf-red=2
base_nxn_pw_early_lock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_early_unlock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_fmt_early nxn run-exit=1 checks: 1687   failures: 1 crf-red=0
base_nxn_pw_fmt_intr nxn run-exit=1 checks: 1687   failures: 1 crf-red=1
base_nxn_pw_fmt_late nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_fmt_lock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_fmt_mr nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_fmt_seq nxn run-exit=1 checks: 1687   failures: 1 crf-red=1
base_nxn_pw_fmt_tu nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_fmt_unlock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_late_early nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_late_intr nxn run-exit=1 checks: 1687   failures: 1 crf-red=1
base_nxn_pw_late_lock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_late_unlock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_lock_intr nxn run-exit=1 checks: 1687   failures: 1 crf-red=1
base_nxn_pw_lock_unlock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_mr_early nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_mr_intr nxn run-exit=1 checks: 1687   failures: 1 crf-red=1
base_nxn_pw_mr_late nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_mr_lock nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
base_nxn_pw_mr_tu nxn run-exit=0 checks: 1687   failures: 0 crf-red=0
