cnt_intr_o__early_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_intr_o__fmt_err_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
cnt_intr_o__late_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
cnt_intr_o__mr_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
cnt_intr_o__pdu_count_o obj_nxn exit=1 fails=8 checks: 1708   failures: 8 | RESULT: FAIL
cnt_intr_o__seq_err_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
cnt_intr_o__tu_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
cnt_locked_o__cnt_intr_o obj_nxn exit=1 fails=5 checks: 1708   failures: 5 | RESULT: FAIL
cnt_locked_o__cnt_unlocked_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_locked_o__early_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_locked_o__fmt_err_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_locked_o__late_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_locked_o__mr_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_locked_o__pdu_count_o obj_nxn exit=1 fails=8 checks: 1708   failures: 8 | RESULT: FAIL
cnt_locked_o__seq_err_o obj_nxn exit=1 fails=5 checks: 1708   failures: 5 | RESULT: FAIL
cnt_locked_o__tu_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_unlocked_o__cnt_intr_o obj_nxn exit=1 fails=5 checks: 1708   failures: 5 | RESULT: FAIL
cnt_unlocked_o__early_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_unlocked_o__fmt_err_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_unlocked_o__late_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_unlocked_o__mr_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
cnt_unlocked_o__pdu_count_o obj_nxn exit=1 fails=8 checks: 1708   failures: 8 | RESULT: FAIL
cnt_unlocked_o__seq_err_o obj_nxn exit=1 fails=5 checks: 1708   failures: 5 | RESULT: FAIL
cnt_unlocked_o__tu_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
early_cnt_o__pdu_count_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
fmt_err_o__early_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
fmt_err_o__late_cnt_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
fmt_err_o__pdu_count_o obj_nxn exit=1 fails=7 checks: 1708   failures: 7 | RESULT: FAIL
late_cnt_o__early_cnt_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
late_cnt_o__pdu_count_o obj_nxn exit=1 fails=6 checks: 1708   failures: 6 | RESULT: FAIL
mr_cnt_o__early_cnt_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
mr_cnt_o__fmt_err_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
mr_cnt_o__late_cnt_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
mr_cnt_o__pdu_count_o obj_nxn exit=1 fails=6 checks: 1708   failures: 6 | RESULT: FAIL
mr_cnt_o__tu_cnt_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
seq_err_o__early_cnt_o obj_nxn exit=1 fails=4 checks: 1708   failures: 4 | RESULT: FAIL
seq_err_o__fmt_err_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
seq_err_o__late_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
seq_err_o__mr_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
seq_err_o__pdu_count_o obj_nxn exit=1 fails=8 checks: 1708   failures: 8 | RESULT: FAIL
seq_err_o__tu_cnt_o obj_nxn exit=1 fails=3 checks: 1708   failures: 3 | RESULT: FAIL
tu_cnt_o__early_cnt_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
tu_cnt_o__fmt_err_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
tu_cnt_o__late_cnt_o obj_nxn exit=1 fails=2 checks: 1708   failures: 2 | RESULT: FAIL
tu_cnt_o__pdu_count_o obj_nxn exit=1 fails=6 checks: 1708   failures: 6 | RESULT: FAIL
