run	tally	sha256(full run log)
S_earlycnt__pducnt__nxn	checks: 1708   failures: 2	c7b9930b1048a41583c9a307ca1f5a9c440f8914e0311be5781806b877ca9192
S_fmterr__earlycnt__nxn	checks: 1708   failures: 3	9b853ba81e13e839b791c7c55aabea92ac34c240583a0e0d6e1a92e9676033a3
S_fmterr__latecnt__nxn	checks: 1708   failures: 2	bf20638da8cbafa62be8e628314e789d33963e0fc72edf5bef710e775f696176
S_fmterr__pducnt__nxn8	checks: 3136   failures: 7	afd2bb5945bda90fd1d2ce9f88e381f9e57a946675265ae8d69e5b80f019fbeb
S_fmterr__pducnt__nxn	checks: 1708   failures: 7	0169ea9d9f45ea498857c90f8c1b01f0404bf04b71aee703eb3188e3aeb026cd
S_intrcnt__earlycnt__nxn	checks: 1708   failures: 4	628395a358f0efc7ada301182bbe93a4a487470a52092219bf66fd57c8135256
S_intrcnt__fmterr__nxn	checks: 1708   failures: 3	e2af6749736a5cc6ec04d88a75a5acbdef999a1e29ac65ca30441520b29b4fcb
S_intrcnt__latecnt__nxn	checks: 1708   failures: 3	b27770df276bea87fb7dba0dcdf6d0d6e0c8f1d09d8533b586f1d8c02e74e5fa
S_intrcnt__mrcnt__nxn	checks: 1708   failures: 3	52482f661eb3c3886901ab7260355191c9994978a0ec4923087beeb14f03f3b4
S_intrcnt__pducnt__nxn	checks: 1708   failures: 8	834beaa405a83b0ad823b2f635f08c82f6cc24a5ce17c6d9d91df3aec104952d
S_intrcnt__seqerr__nxn8	checks: 3136   failures: 2	5be47520f2dd66c2d21742039bc7c70648752c0901350e47fcb23d4cc220b052
S_intrcnt__seqerr__nxn	checks: 1708   failures: 2	b0a59c4bb2701a8d6d4eabbc702eb7ecd871aa950406a632170321d19e91d846
S_intrcnt__tucnt__nxn	checks: 1708   failures: 3	e1a19ed59f438ed3d6e6130f29648c79eea4ae394e26d1415c600672a7842ae0
S_latecnt__earlycnt__nxn8	checks: 3136   failures: 2	25b53c72cc3abc084f9ca7226cee1d7699a0eea457d8ab8437460d49923cd4e2
S_latecnt__earlycnt__nxn	checks: 1708   failures: 2	bcb97aa36284aed89e8aa59f24efa9905827867fa151c8a7cd68ee44e8d9a0bf
S_latecnt__pducnt__nxn	checks: 1708   failures: 6	3c6aa9629093c37b66d0c5bdf07fc4242d8147b9e4ebb4b05ac74ae3eb1088ab
S_lockcnt__earlycnt__nxn	checks: 1708   failures: 4	c0eca74c7f305a2d99254aa6af957b28f88ad67bcbb87204c67f7c13a5b4565d
S_lockcnt__fmterr__nxn	checks: 1708   failures: 4	7193dbe6d9fb7edb991a3bb688054ea58171863a7af6285eb77b3360c7a68ac9
S_lockcnt__intrcnt__nxn	checks: 1708   failures: 5	a185da1b612d06904a61245200dd32343b766af1537c4b21b2292afae39e64b4
S_lockcnt__latecnt__nxn	checks: 1708   failures: 4	dc6cf3a69a4b64f3a67dac653d8866fb8103c353235f398ead3ad6835c765e3c
S_lockcnt__mrcnt__nxn	checks: 1708   failures: 4	900a698e2c21aca35b96df06aaea30d16c522db006befe4b5c332a31dacc9b7f
S_lockcnt__pducnt__nxn	checks: 1708   failures: 8	142f28eaed66874f881b44c2d7f15e94e0b430eba37d72d0a228b0a026406014
S_lockcnt__seqerr__nxn	checks: 1708   failures: 5	289732a69428f38aedfa48778c2ed21a7f1569b7d0da89fe520326402d5fa7f2
S_lockcnt__tucnt__nxn	checks: 1708   failures: 4	5ec612f9391262a80ed46de7ae5e0e3cd6ccfa51fa9675dd342de1c46e746874
S_lockcnt__unlockcnt__nxn8	checks: 3136   failures: 4	a9f9ac1a70460354bc8a005860cf995b98472252b37c8682c7ba5ede2caac68e
S_lockcnt__unlockcnt__nxn	checks: 1708   failures: 4	9e9a85a2ec6e2828d4a415a97220a05660433c93ae4d745b27fa7d9799d7d692
S_mrcnt__earlycnt__nxn	checks: 1708   failures: 2	dc66ee738751cc6b8dc03b79ba0c5e0c39c5d2a2a84fd4ae8f56f241a65e2bf6
