name	wire_a	q_a	sym_a	wire_b	q_b	sym_b
S_lockcnt__unlockcnt	crf_lockcnt_w	0	MEDIA_LOCKED	crf_unlockcnt_w	1	MEDIA_UNLOCKED
S_lockcnt__intrcnt	crf_lockcnt_w	0	MEDIA_LOCKED	crf_intrcnt_w	2	STREAM_INTERRUPTED
S_lockcnt__seqerr	crf_lockcnt_w	0	MEDIA_LOCKED	crf_seqerr_w	3	SEQ_NUM_MISMATCH
S_lockcnt__mrcnt	crf_lockcnt_w	0	MEDIA_LOCKED	crf_mrcnt_w	4	MEDIA_RESET
S_lockcnt__tucnt	crf_lockcnt_w	0	MEDIA_LOCKED	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN
S_lockcnt__fmterr	crf_lockcnt_w	0	MEDIA_LOCKED	crf_fmterr_w	8	UNSUPPORTED_FORMAT
S_lockcnt__latecnt	crf_lockcnt_w	0	MEDIA_LOCKED	crf_latecnt_w	9	LATE_TIMESTAMP
S_lockcnt__earlycnt	crf_lockcnt_w	0	MEDIA_LOCKED	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_lockcnt__pducnt	crf_lockcnt_w	0	MEDIA_LOCKED	crf_pducnt_w	11	FRAMES_RX
S_unlockcnt__intrcnt	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_intrcnt_w	2	STREAM_INTERRUPTED
S_unlockcnt__seqerr	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_seqerr_w	3	SEQ_NUM_MISMATCH
S_unlockcnt__mrcnt	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_mrcnt_w	4	MEDIA_RESET
S_unlockcnt__tucnt	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN
S_unlockcnt__fmterr	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_fmterr_w	8	UNSUPPORTED_FORMAT
S_unlockcnt__latecnt	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_latecnt_w	9	LATE_TIMESTAMP
S_unlockcnt__earlycnt	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_unlockcnt__pducnt	crf_unlockcnt_w	1	MEDIA_UNLOCKED	crf_pducnt_w	11	FRAMES_RX
S_intrcnt__seqerr	crf_intrcnt_w	2	STREAM_INTERRUPTED	crf_seqerr_w	3	SEQ_NUM_MISMATCH
S_intrcnt__mrcnt	crf_intrcnt_w	2	STREAM_INTERRUPTED	crf_mrcnt_w	4	MEDIA_RESET
S_intrcnt__tucnt	crf_intrcnt_w	2	STREAM_INTERRUPTED	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN
S_intrcnt__fmterr	crf_intrcnt_w	2	STREAM_INTERRUPTED	crf_fmterr_w	8	UNSUPPORTED_FORMAT
S_intrcnt__latecnt	crf_intrcnt_w	2	STREAM_INTERRUPTED	crf_latecnt_w	9	LATE_TIMESTAMP
S_intrcnt__earlycnt	crf_intrcnt_w	2	STREAM_INTERRUPTED	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_intrcnt__pducnt	crf_intrcnt_w	2	STREAM_INTERRUPTED	crf_pducnt_w	11	FRAMES_RX
S_seqerr__mrcnt	crf_seqerr_w	3	SEQ_NUM_MISMATCH	crf_mrcnt_w	4	MEDIA_RESET
S_seqerr__tucnt	crf_seqerr_w	3	SEQ_NUM_MISMATCH	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN
S_seqerr__fmterr	crf_seqerr_w	3	SEQ_NUM_MISMATCH	crf_fmterr_w	8	UNSUPPORTED_FORMAT
S_seqerr__latecnt	crf_seqerr_w	3	SEQ_NUM_MISMATCH	crf_latecnt_w	9	LATE_TIMESTAMP
S_seqerr__earlycnt	crf_seqerr_w	3	SEQ_NUM_MISMATCH	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_seqerr__pducnt	crf_seqerr_w	3	SEQ_NUM_MISMATCH	crf_pducnt_w	11	FRAMES_RX
S_mrcnt__tucnt	crf_mrcnt_w	4	MEDIA_RESET	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN
S_mrcnt__fmterr	crf_mrcnt_w	4	MEDIA_RESET	crf_fmterr_w	8	UNSUPPORTED_FORMAT
S_mrcnt__latecnt	crf_mrcnt_w	4	MEDIA_RESET	crf_latecnt_w	9	LATE_TIMESTAMP
S_mrcnt__earlycnt	crf_mrcnt_w	4	MEDIA_RESET	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_mrcnt__pducnt	crf_mrcnt_w	4	MEDIA_RESET	crf_pducnt_w	11	FRAMES_RX
S_tucnt__fmterr	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN	crf_fmterr_w	8	UNSUPPORTED_FORMAT
S_tucnt__latecnt	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN	crf_latecnt_w	9	LATE_TIMESTAMP
S_tucnt__earlycnt	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_tucnt__pducnt	crf_tucnt_w	5	TIMESTAMP_UNCERTAIN	crf_pducnt_w	11	FRAMES_RX
S_fmterr__latecnt	crf_fmterr_w	8	UNSUPPORTED_FORMAT	crf_latecnt_w	9	LATE_TIMESTAMP
S_fmterr__earlycnt	crf_fmterr_w	8	UNSUPPORTED_FORMAT	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_fmterr__pducnt	crf_fmterr_w	8	UNSUPPORTED_FORMAT	crf_pducnt_w	11	FRAMES_RX
S_latecnt__earlycnt	crf_latecnt_w	9	LATE_TIMESTAMP	crf_earlycnt_w	10	EARLY_TIMESTAMP
S_latecnt__pducnt	crf_latecnt_w	9	LATE_TIMESTAMP	crf_pducnt_w	11	FRAMES_RX
S_earlycnt__pducnt	crf_earlycnt_w	10	EARLY_TIMESTAMP	crf_pducnt_w	11	FRAMES_RX
