remote_minus_local_s=+1.3427 rtt_s=0.2801
remote_minus_local_s=+1.2032 rtt_s=0.0008
remote_minus_local_s=+1.2032 rtt_s=0.0008
remote_minus_local_s=+1.2032 rtt_s=0.0008
remote_minus_local_s=+1.2032 rtt_s=0.0008
remote_minus_local_s=+1.2032 rtt_s=0.0008
remote_minus_local_s=+1.2032 rtt_s=0.0009
remote_minus_local_s=+1.2027 rtt_s=0.0017
remote_minus_local_s=+1.2033 rtt_s=0.0011
remote_minus_local_s=+1.2031 rtt_s=0.0009
remote_minus_local_s=+1.2032 rtt_s=0.0009
remote_minus_local_s=+1.2030 rtt_s=0.0012
remote_minus_local_s=+1.2029 rtt_s=0.0015
remote_minus_local_s=+1.2033 rtt_s=0.0012
remote_minus_local_s=+1.2033 rtt_s=0.0010
BEST remote_minus_local_s=+1.2032 rtt_s=0.0008 at_local=2026-09-24T03:14:47Z
