rtl-fast | completed | success | 2026-09-24T04:09:21Z | 2026-09-24T04:09:26Z
Physical gPTP (nightly and manual) | completed | skipped | 2026-09-24T03:59:19Z | 2026-09-24T03:59:19Z
Verilator shard 1/5 | completed | success | 2026-09-24T03:59:22Z | 2026-09-24T04:24:02Z
Verilator shard 0/5 | completed | success | 2026-09-24T03:59:21Z | 2026-09-24T04:12:12Z
Yosys shard 2/4 | completed | success | 2026-09-24T03:59:21Z | 2026-09-24T03:59:44Z
Verilator shard 3/5 | completed | success | 2026-09-24T03:59:21Z | 2026-09-24T04:08:23Z
Verilator shard 4/5 | in_progress | null | 2026-09-24T03:59:21Z | null
Verilator shard 2/5 | completed | success | 2026-09-24T03:59:21Z | 2026-09-24T04:06:14Z
Yosys shard 3/4 | completed | success | 2026-09-24T03:59:21Z | 2026-09-24T03:59:47Z
Yosys shard 1/4 | completed | success | 2026-09-24T03:59:21Z | 2026-09-24T04:02:53Z
Yosys shard 0/4 | completed | success | 2026-09-24T03:59:21Z | 2026-09-24T04:03:50Z
verilator-lint | completed | success | 2026-09-24T03:59:51Z | 2026-09-24T04:00:17Z
yosys-elaboration | completed | success | 2026-09-24T03:59:15Z | 2026-09-24T04:09:18Z
changes | completed | success | 2026-09-24T03:58:59Z | 2026-09-24T03:59:13Z
docs-check-no-git | completed | success | 2026-09-24T03:58:59Z | 2026-09-24T03:59:08Z
wire-accountability | completed | success | 2026-09-24T03:58:59Z | 2026-09-24T03:59:05Z
docs-check | completed | success | 2026-09-24T03:59:00Z | 2026-09-24T04:11:47Z
bdd-conformance | completed | success | 2026-09-24T03:58:59Z | 2026-09-24T03:59:12Z
elaborate | completed | success | 2026-09-24T03:59:01Z | 2026-09-24T04:10:16Z
full-ci-gate | completed | success | 2026-09-24T03:58:59Z | 2026-09-24T03:59:18Z
