# hosted check runs for 446e79b977640d13fa1e5dc0f9896d6c5a70391d, read 2026-09-24T05:57:43Z
bdd-conformance	completed	success	2026-09-24T05:21:03Z	2026-09-24T05:21:15Z
changes	completed	success	2026-09-24T05:21:06Z	2026-09-24T05:21:24Z
docs-check	completed	success	2026-09-24T05:21:04Z	2026-09-24T05:31:40Z
docs-check-no-git	completed	success	2026-09-24T05:21:04Z	2026-09-24T05:21:12Z
elaborate	completed	success	2026-09-24T05:21:04Z	2026-09-24T05:31:41Z
full-ci-gate	completed	success	2026-09-24T05:21:03Z	2026-09-24T05:21:22Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-24T05:21:22Z	2026-09-24T05:21:22Z
rtl-fast	completed	success	2026-09-24T05:31:30Z	2026-09-24T05:31:33Z
verilator-lint	completed	success	2026-09-24T05:21:26Z	2026-09-24T05:21:49Z
Verilator shard 0/5	completed	success	2026-09-24T05:21:25Z	2026-09-24T05:34:35Z
Verilator shard 1/5	completed	success	2026-09-24T05:21:24Z	2026-09-24T05:46:04Z
Verilator shard 2/5	completed	success	2026-09-24T05:21:24Z	2026-09-24T05:28:16Z
Verilator shard 3/5	completed	success	2026-09-24T05:21:24Z	2026-09-24T05:27:41Z
Verilator shard 4/5	in_progress	-	2026-09-24T05:21:24Z	-
wire-accountability	completed	success	2026-09-24T05:21:03Z	2026-09-24T05:21:10Z
yosys-elaboration	completed	success	2026-09-24T05:21:26Z	2026-09-24T05:31:28Z
Yosys shard 0/4	completed	success	2026-09-24T05:21:24Z	2026-09-24T05:22:00Z
Yosys shard 1/4	completed	success	2026-09-24T05:21:24Z	2026-09-24T05:21:52Z
Yosys shard 2/4	completed	success	2026-09-24T05:21:24Z	2026-09-24T05:21:47Z
Yosys shard 3/4	completed	success	2026-09-24T05:21:24Z	2026-09-24T05:21:47Z
# combined status contexts
pending
# PR state
446e79b977640d13fa1e5dc0f9896d6c5a70391d	false	OPEN	dev
