rtl-fast	completed	success	2026-09-24T08:21:07Z	2026-09-24T08:21:10Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-24T08:12:58Z	2026-09-24T08:12:58Z
Verilator shard 2/5	completed	success	2026-09-24T08:13:00Z	2026-09-24T08:19:48Z
Verilator shard 3/5	in_progress	-	2026-09-24T08:13:00Z	
Yosys shard 2/4	completed	success	2026-09-24T08:13:00Z	2026-09-24T08:13:22Z
Verilator shard 4/5	in_progress	-	2026-09-24T08:13:00Z	
Yosys shard 1/4	completed	success	2026-09-24T08:13:00Z	2026-09-24T08:13:31Z
Verilator shard 0/5	in_progress	-	2026-09-24T08:13:00Z	
Yosys shard 0/4	completed	success	2026-09-24T08:13:00Z	2026-09-24T08:13:45Z
Yosys shard 3/4	completed	success	2026-09-24T08:13:00Z	2026-09-24T08:13:32Z
Verilator shard 1/5	in_progress	-	2026-09-24T08:13:00Z	
yosys-elaboration	completed	success	2026-09-24T08:12:54Z	2026-09-24T08:21:04Z
verilator-lint	completed	success	2026-09-24T08:12:54Z	2026-09-24T08:13:23Z
changes	completed	success	2026-09-24T08:12:37Z	2026-09-24T08:12:52Z
docs-check-no-git	completed	success	2026-09-24T08:12:38Z	2026-09-24T08:12:49Z
docs-check	in_progress	-	2026-09-24T08:12:37Z	
bdd-conformance	completed	success	2026-09-24T08:12:37Z	2026-09-24T08:12:46Z
elaborate	in_progress	-	2026-09-24T08:12:37Z	
wire-accountability	completed	success	2026-09-24T08:12:38Z	2026-09-24T08:12:47Z
full-ci-gate	completed	success	2026-09-24T08:12:37Z	2026-09-24T08:12:58Z
