Physical gPTP (nightly and manual) | completed | skipped | f5497170a2c444e01175683606310dbe7fbb2816
Verilator shard 0/5 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Verilator shard 1/5 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Verilator shard 2/5 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Verilator shard 3/5 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Verilator shard 4/5 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Yosys shard 0/4 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Yosys shard 1/4 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Yosys shard 2/4 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
Yosys shard 3/4 | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
bdd-conformance | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
changes | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
docs-check | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
docs-check-no-git | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
elaborate | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
full-ci-gate | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
rtl-fast | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
verilator-lint | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
verilator-suites | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
wire-accountability | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
yosys-elaboration | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
yosys-portability | completed | success | f5497170a2c444e01175683606310dbe7fbb2816
