yosys-portability | completed | success | 2734b771bcf0
verilator-suites | completed | success | 2734b771bcf0
rtl-fast | completed | success | 2734b771bcf0
Physical gPTP (nightly and manual) | completed | skipped | 2734b771bcf0
Yosys shard 1/4 | completed | success | 2734b771bcf0
Verilator shard 0/5 | completed | success | 2734b771bcf0
Yosys shard 2/4 | completed | success | 2734b771bcf0
Verilator shard 2/5 | completed | success | 2734b771bcf0
Yosys shard 3/4 | completed | success | 2734b771bcf0
Verilator shard 1/5 | completed | success | 2734b771bcf0
Verilator shard 4/5 | completed | success | 2734b771bcf0
Yosys shard 0/4 | completed | success | 2734b771bcf0
Verilator shard 3/5 | completed | success | 2734b771bcf0
verilator-lint | completed | success | 2734b771bcf0
yosys-elaboration | completed | success | 2734b771bcf0
elaborate | completed | success | 2734b771bcf0
changes | completed | success | 2734b771bcf0
bdd-conformance | completed | success | 2734b771bcf0
full-ci-gate | completed | success | 2734b771bcf0
wire-accountability | completed | success | 2734b771bcf0
docs-check | completed | success | 2734b771bcf0
docs-check-no-git | completed | success | 2734b771bcf0
--- statuses
pending
