rtl-fast | completed | success | 2026-09-25T00:52:37Z | 2026-09-25T00:52:40Z
yosys-elaboration | completed | success | 2026-09-25T00:44:23Z | 2026-09-25T00:52:34Z
verilator-lint | completed | success | 2026-09-25T00:44:34Z | 2026-09-25T00:45:02Z
Physical gPTP (nightly and manual) | completed | skipped | 2026-09-25T00:43:55Z | 2026-09-25T00:43:55Z
Verilator shard 4/5 | in_progress | null | 2026-09-25T00:43:57Z | null
Verilator shard 1/5 | completed | success | 2026-09-25T00:43:58Z | 2026-09-25T01:08:34Z
Verilator shard 0/5 | completed | success | 2026-09-25T00:44:22Z | 2026-09-25T00:57:30Z
Yosys shard 3/4 | completed | success | 2026-09-25T00:43:57Z | 2026-09-25T00:44:32Z
Yosys shard 1/4 | completed | success | 2026-09-25T00:43:57Z | 2026-09-25T00:44:20Z
Verilator shard 3/5 | completed | success | 2026-09-25T00:43:57Z | 2026-09-25T00:53:21Z
Yosys shard 2/4 | completed | success | 2026-09-25T00:43:57Z | 2026-09-25T00:44:22Z
Yosys shard 0/4 | completed | success | 2026-09-25T00:43:57Z | 2026-09-25T00:49:24Z
Verilator shard 2/5 | completed | success | 2026-09-25T00:43:57Z | 2026-09-25T00:55:41Z
bdd-conformance | completed | success | 2026-09-25T00:43:36Z | 2026-09-25T00:43:50Z
full-ci-gate | completed | success | 2026-09-25T00:43:36Z | 2026-09-25T00:43:54Z
changes | completed | success | 2026-09-25T00:43:37Z | 2026-09-25T00:43:55Z
docs-check-no-git | completed | success | 2026-09-25T00:43:36Z | 2026-09-25T00:43:44Z
wire-accountability | completed | success | 2026-09-25T00:43:37Z | 2026-09-25T00:43:49Z
docs-check | completed | success | 2026-09-25T00:43:36Z | 2026-09-25T01:02:07Z
elaborate | completed | success | 2026-09-25T00:43:36Z | 2026-09-25T00:58:53Z
